"","rowname","variable","value","geoid"
"341","I.8","hh3",48.924,"51610500100"
"342","I.9","hh3",140.128,"51610500100"
"343","I.1","hh4",1.053,"51610500100"
"344","I.2","hh4",1.574,"51610500100"
"345","I.3","hh4",0,"51610500100"
"346","I.4","hh4",1.74,"51610500100"
"347","I.5","hh4",8.106,"51610500100"
"348","I.6","hh4",11.001,"51610500100"
"349","I.7","hh4",22.923,"51610500100"
"350","I.8","hh4",29.682,"51610500100"
"351","I.9","hh4",135.92,"51610500100"
"352","I.1","hh5",0.518,"51610500100"
"353","I.2","hh5",0.513,"51610500100"
"354","I.3","hh5",0,"51610500100"
"355","I.4","hh5",0.746,"51610500100"
"356","I.5","hh5",0.882,"51610500100"
"357","I.6","hh5",5.917,"51610500100"
"358","I.7","hh5",15.064,"51610500100"
"359","I.8","hh5",15.62,"51610500100"
"360","I.9","hh5",87.739,"51610500100"
"361","I.1","hh1",0,"51059980300"
"362","I.2","hh1",0,"51059980300"
"363","I.3","hh1",0,"51059980300"
"364","I.4","hh1",0,"51059980300"
"365","I.5","hh1",0,"51059980300"
"366","I.6","hh1",0,"51059980300"
"367","I.7","hh1",0,"51059980300"
"368","I.8","hh1",0,"51059980300"
"369","I.9","hh1",0,"51059980300"
"370","I.1","hh2",0,"51059980300"
"371","I.2","hh2",0,"51059980300"
"372","I.3","hh2",0,"51059980300"
"373","I.4","hh2",0,"51059980300"
"374","I.5","hh2",0,"51059980300"
"375","I.6","hh2",0,"51059980300"
"376","I.7","hh2",0,"51059980300"
"377","I.8","hh2",0,"51059980300"
"378","I.9","hh2",0,"51059980300"
"379","I.1","hh3",0,"51059980300"
"380","I.2","hh3",0,"51059980300"
"381","I.3","hh3",0,"51059980300"
"382","I.4","hh3",0,"51059980300"
"383","I.5","hh3",0,"51059980300"
"384","I.6","hh3",0,"51059980300"
"385","I.7","hh3",0,"51059980300"
"386","I.8","hh3",0,"51059980300"
"387","I.9","hh3",0,"51059980300"
"388","I.1","hh4",0,"51059980300"
"389","I.2","hh4",0,"51059980300"
"390","I.3","hh4",0,"51059980300"
"391","I.4","hh4",0,"51059980300"
"392","I.5","hh4",0,"51059980300"
"393","I.6","hh4",0,"51059980300"
"394","I.7","hh4",0,"51059980300"
"395","I.8","hh4",0,"51059980300"
"396","I.9","hh4",0,"51059980300"
"397","I.1","hh5",0,"51059980300"
"398","I.2","hh5",0,"51059980300"
"399","I.3","hh5",0,"51059980300"
"400","I.4","hh5",0,"51059980300"
"401","I.5","hh5",0,"51059980300"
"402","I.6","hh5",0,"51059980300"
"403","I.7","hh5",0,"51059980300"
"404","I.8","hh5",0,"51059980300"
"405","I.9","hh5",0,"51059980300"
"406","I.1","hh1",0,"51059980200"
"407","I.2","hh1",0,"51059980200"
"408","I.3","hh1",0,"51059980200"
"409","I.4","hh1",0,"51059980200"
"410","I.5","hh1",0,"51059980200"
"411","I.6","hh1",0,"51059980200"
"412","I.7","hh1",0,"51059980200"
"413","I.8","hh1",0,"51059980200"
"414","I.9","hh1",0,"51059980200"
"415","I.1","hh2",0,"51059980200"
"416","I.2","hh2",0,"51059980200"
"417","I.3","hh2",0,"51059980200"
"418","I.4","hh2",0,"51059980200"
"419","I.5","hh2",0,"51059980200"
"420","I.6","hh2",0,"51059980200"
"421","I.7","hh2",0,"51059980200"
"422","I.8","hh2",0,"51059980200"
"423","I.9","hh2",0,"51059980200"
"424","I.1","hh3",0,"51059980200"
"425","I.2","hh3",0,"51059980200"
"426","I.3","hh3",0,"51059980200"
"427","I.4","hh3",0,"51059980200"
"428","I.5","hh3",0,"51059980200"
"429","I.6","hh3",0,"51059980200"
"430","I.7","hh3",0,"51059980200"
"431","I.8","hh3",0,"51059980200"
"432","I.9","hh3",0,"51059980200"
"433","I.1","hh4",0,"51059980200"
"434","I.2","hh4",0,"51059980200"
"435","I.3","hh4",0,"51059980200"
"436","I.4","hh4",0,"51059980200"
"437","I.5","hh4",0,"51059980200"
"438","I.6","hh4",0,"51059980200"
"439","I.7","hh4",0,"51059980200"
"440","I.8","hh4",0,"51059980200"
"441","I.9","hh4",0,"51059980200"
"442","I.1","hh5",0,"51059980200"
"443","I.2","hh5",0,"51059980200"
"444","I.3","hh5",0,"51059980200"
"445","I.4","hh5",0,"51059980200"
"446","I.5","hh5",0,"51059980200"
"447","I.6","hh5",0,"51059980200"
"448","I.7","hh5",0,"51059980200"
"449","I.8","hh5",0,"51059980200"
"450","I.9","hh5",0,"51059980200"
"451","I.1","hh1",0,"51059980100"
"452","I.2","hh1",0,"51059980100"
"453","I.3","hh1",0,"51059980100"
"454","I.4","hh1",0,"51059980100"
"455","I.5","hh1",5,"51059980100"
"456","I.6","hh1",0,"51059980100"
"457","I.7","hh1",0,"51059980100"
"458","I.8","hh1",0,"51059980100"
"459","I.9","hh1",0,"51059980100"
"460","I.1","hh2",0,"51059980100"
"461","I.2","hh2",0,"51059980100"
"462","I.3","hh2",0,"51059980100"
"463","I.4","hh2",0,"51059980100"
"464","I.5","hh2",0,"51059980100"
"465","I.6","hh2",0,"51059980100"
"466","I.7","hh2",0,"51059980100"
"467","I.8","hh2",0,"51059980100"
"468","I.9","hh2",0,"51059980100"
"469","I.1","hh3",0,"51059980100"
"470","I.2","hh3",0,"51059980100"
"471","I.3","hh3",0,"51059980100"
"472","I.4","hh3",0,"51059980100"
"473","I.5","hh3",0,"51059980100"
"474","I.6","hh3",0,"51059980100"
"475","I.7","hh3",0,"51059980100"
"476","I.8","hh3",0,"51059980100"
"477","I.9","hh3",0,"51059980100"
"478","I.1","hh4",0,"51059980100"
"479","I.2","hh4",0,"51059980100"
"480","I.3","hh4",0,"51059980100"
"481","I.4","hh4",0,"51059980100"
"482","I.5","hh4",0,"51059980100"
"483","I.6","hh4",0,"51059980100"
"484","I.7","hh4",0,"51059980100"
"485","I.8","hh4",0,"51059980100"
"486","I.9","hh4",0,"51059980100"
"487","I.1","hh5",0,"51059980100"
"488","I.2","hh5",0,"51059980100"
"489","I.3","hh5",0,"51059980100"
"490","I.4","hh5",0,"51059980100"
"491","I.5","hh5",0,"51059980100"
"492","I.6","hh5",0,"51059980100"
"493","I.7","hh5",0,"51059980100"
"494","I.8","hh5",0,"51059980100"
