"rowname","variable","value","geoid"
"I.9","hh3",48.681,"51059481500"
"I.1","hh4",0,"51059481500"
"I.2","hh4",0.209,"51059481500"
"I.3","hh4",2.037,"51059481500"
"I.4","hh4",2.1,"51059481500"
"I.5","hh4",5.452,"51059481500"
"I.6","hh4",7.205,"51059481500"
"I.7","hh4",11.068,"51059481500"
"I.8","hh4",21.404,"51059481500"
"I.9","hh4",105.524,"51059481500"
"I.1","hh5",0,"51059481500"
"I.2","hh5",0.453,"51059481500"
"I.3","hh5",0.62,"51059481500"
"I.4","hh5",1.356,"51059481500"
"I.5","hh5",6.66,"51059481500"
"I.6","hh5",2.256,"51059481500"
"I.7","hh5",8.203,"51059481500"
"I.8","hh5",8.288,"51059481500"
"I.9","hh5",67.163,"51059481500"
"I.1","hh1",77.208,"51059481400"
"I.2","hh1",36.289,"51059481400"
"I.3","hh1",21.936,"51059481400"
"I.4","hh1",39.063,"51059481400"
"I.5","hh1",70.694,"51059481400"
"I.6","hh1",99.585,"51059481400"
"I.7","hh1",160.492,"51059481400"
"I.8","hh1",86.471,"51059481400"
"I.9","hh1",62.261,"51059481400"
"I.1","hh2",58.896,"51059481400"
"I.2","hh2",34.414,"51059481400"
"I.3","hh2",10.831,"51059481400"
"I.4","hh2",35.597,"51059481400"
"I.5","hh2",74.451,"51059481400"
"I.6","hh2",116.684,"51059481400"
"I.7","hh2",233.131,"51059481400"
"I.8","hh2",208.365,"51059481400"
"I.9","hh2",273.631,"51059481400"
"I.1","hh3",10.601,"51059481400"
"I.2","hh3",2.342,"51059481400"
"I.3","hh3",1.837,"51059481400"
"I.4","hh3",16.487,"51059481400"
"I.5","hh3",16.849,"51059481400"
"I.6","hh3",35.399,"51059481400"
"I.7","hh3",84.483,"51059481400"
"I.8","hh3",51.145,"51059481400"
"I.9","hh3",137.857,"51059481400"
"I.1","hh4",12.295,"51059481400"
"I.2","hh4",8.51,"51059481400"
"I.3","hh4",7.463,"51059481400"
"I.4","hh4",9.739,"51059481400"
"I.5","hh4",15.853,"51059481400"
"I.6","hh4",25.742,"51059481400"
"I.7","hh4",81.685,"51059481400"
"I.8","hh4",58.874,"51059481400"
"I.9","hh4",157.84,"51059481400"
"I.1","hh5",0,"51059481400"
"I.2","hh5",6.445,"51059481400"
"I.3","hh5",1.933,"51059481400"
"I.4","hh5",6.114,"51059481400"
"I.5","hh5",17.154,"51059481400"
"I.6","hh5",24.591,"51059481400"
"I.7","hh5",62.208,"51059481400"
"I.8","hh5",40.145,"51059481400"
"I.9","hh5",76.41,"51059481400"
"I.1","hh1",34.298,"51059481202"
"I.2","hh1",27.57,"51059481202"
"I.3","hh1",31.062,"51059481202"
"I.4","hh1",40.879,"51059481202"
"I.5","hh1",71.007,"51059481202"
"I.6","hh1",54.737,"51059481202"
"I.7","hh1",78.92,"51059481202"
"I.8","hh1",37.218,"51059481202"
"I.9","hh1",25.307,"51059481202"
"I.1","hh2",20.561,"51059481202"
"I.2","hh2",36.95,"51059481202"
"I.3","hh2",26.455,"51059481202"
"I.4","hh2",55.142,"51059481202"
"I.5","hh2",108.746,"51059481202"
"I.6","hh2",64.209,"51059481202"
"I.7","hh2",108.691,"51059481202"
"I.8","hh2",81.176,"51059481202"
"I.9","hh2",102.069,"51059481202"
"I.1","hh3",18.765,"51059481202"
"I.2","hh3",18.389,"51059481202"
"I.3","hh3",14.042,"51059481202"
"I.4","hh3",72.304,"51059481202"
"I.5","hh3",70.801,"51059481202"
"I.6","hh3",40.235,"51059481202"
"I.7","hh3",82.436,"51059481202"
"I.8","hh3",37.949,"51059481202"
"I.9","hh3",84.079,"51059481202"
"I.1","hh4",9.375,"51059481202"
"I.2","hh4",15.225,"51059481202"
"I.3","hh4",22.703,"51059481202"
"I.4","hh4",19.775,"51059481202"
"I.5","hh4",30.779,"51059481202"
"I.6","hh4",19.619,"51059481202"
"I.7","hh4",54.083,"51059481202"
"I.8","hh4",31.628,"51059481202"
"I.9","hh4",75.813,"51059481202"
"I.1","hh5",0,"51059481202"
"I.2","hh5",90.866,"51059481202"
"I.3","hh5",17.737,"51059481202"
"I.4","hh5",26.901,"51059481202"
"I.5","hh5",71.667,"51059481202"
"I.6","hh5",22.2,"51059481202"
"I.7","hh5",46.87,"51059481202"
"I.8","hh5",23.028,"51059481202"
"I.9","hh5",37.732,"51059481202"
"I.1","hh1",2.572,"51059481201"
"I.2","hh1",0,"51059481201"
"I.3","hh1",3.456,"51059481201"
"I.4","hh1",2.294,"51059481201"
"I.5","hh1",6.948,"51059481201"
"I.6","hh1",6.95,"51059481201"
"I.7","hh1",10.432,"51059481201"
"I.8","hh1",9.866,"51059481201"
"I.9","hh1",7.482,"51059481201"
"I.1","hh2",1.139,"51059481201"
"I.2","hh2",0,"51059481201"
"I.3","hh2",2.717,"51059481201"
"I.4","hh2",2.003,"51059481201"
"I.5","hh2",8.91,"51059481201"
"I.6","hh2",8.343,"51059481201"
"I.7","hh2",14.877,"51059481201"
"I.8","hh2",35.704,"51059481201"
"I.9","hh2",46.307,"51059481201"
"I.1","hh3",0.681,"51059481201"
"I.2","hh3",0,"51059481201"
"I.3","hh3",0.567,"51059481201"
"I.4","hh3",1.447,"51059481201"
"I.5","hh3",3.563,"51059481201"
"I.6","hh3",4.583,"51059481201"
"I.7","hh3",10.192,"51059481201"
"I.8","hh3",19.944,"51059481201"
"I.9","hh3",43.022,"51059481201"
"I.1","hh4",0.608,"51059481201"
"I.2","hh4",0,"51059481201"
"I.3","hh4",2.788,"51059481201"
"I.4","hh4",0.778,"51059481201"
"I.5","hh4",2.901,"51059481201"
"I.6","hh4",2.842,"51059481201"
"I.7","hh4",8.283,"51059481201"
"I.8","hh4",19.07,"51059481201"
"I.9","hh4",42.729,"51059481201"
"I.1","hh5",0,"51059481201"
"I.2","hh5",0,"51059481201"
"I.3","hh5",0.471,"51059481201"
"I.4","hh5",0.479,"51059481201"
"I.5","hh5",2.679,"51059481201"
"I.6","hh5",2.281,"51059481201"
"I.7","hh5",5.215,"51059481201"
"I.8","hh5",10.416,"51059481201"
"I.9","hh5",17.46,"51059481201"
"I.1","hh1",8.838,"51059481106"
"I.2","hh1",0,"51059481106"
"I.3","hh1",5.655,"51059481106"
"I.4","hh1",7.413,"51059481106"
"I.5","hh1",13.056,"51059481106"
"I.6","hh1",18.993,"51059481106"
"I.7","hh1",24.591,"51059481106"
"I.8","hh1",16.167,"51059481106"
"I.9","hh1",15.288,"51059481106"
"I.1","hh2",22.623,"51059481106"
"I.2","hh2",0,"51059481106"
"I.3","hh2",7.351,"51059481106"
"I.4","hh2",13.84,"51059481106"
"I.5","hh2",28.257,"51059481106"
"I.6","hh2",68.754,"51059481106"
"I.7","hh2",70.663,"51059481106"
"I.8","hh2",112.345,"51059481106"
"I.9","hh2",283.167,"51059481106"
"I.1","hh3",10.682,"51059481106"
"I.2","hh3",0,"51059481106"
"I.3","hh3",1.928,"51059481106"
"I.4","hh3",9.615,"51059481106"
"I.5","hh3",9.767,"51059481106"
"I.6","hh3",35.887,"51059481106"
"I.7","hh3",44.336,"51059481106"
"I.8","hh3",47.29,"51059481106"
"I.9","hh3",227.494,"51059481106"
"I.1","hh4",10.857,"51059481106"
"I.2","hh4",0,"51059481106"
"I.3","hh4",7.227,"51059481106"
"I.4","hh4",5.629,"51059481106"
"I.5","hh4",8.946,"51059481106"
"I.6","hh4",27.826,"51059481106"
"I.7","hh4",40.672,"51059481106"
"I.8","hh4",56.472,"51059481106"
"I.9","hh4",310.372,"51059481106"
"I.1","hh5",0,"51059481106"
"I.2","hh5",0,"51059481106"
"I.3","hh5",1.839,"51059481106"
"I.4","hh5",3.504,"51059481106"
"I.5","hh5",8.974,"51059481106"
"I.6","hh5",25.54,"51059481106"
"I.7","hh5",27.738,"51059481106"
"I.8","hh5",36.726,"51059481106"
"I.9","hh5",158.679,"51059481106"
"I.1","hh1",3.318,"51059481105"
"I.2","hh1",0,"51059481105"
"I.3","hh1",7.452,"51059481105"
"I.4","hh1",16.819,"51059481105"
"I.5","hh1",12.687,"51059481105"
"I.6","hh1",19.182,"51059481105"
"I.7","hh1",43.313,"51059481105"
"I.8","hh1",24.927,"51059481105"
"I.9","hh1",29.302,"51059481105"
"I.1","hh2",1.199,"51059481105"
"I.2","hh2",0,"51059481105"
"I.3","hh2",4.424,"51059481105"
"I.4","hh2",25.405,"51059481105"
"I.5","hh2",12.579,"51059481105"
"I.6","hh2",21.645,"51059481105"
"I.7","hh2",73.419,"51059481105"
"I.8","hh2",72.761,"51059481105"
"I.9","hh2",230.569,"51059481105"
"I.1","hh3",0.761,"51059481105"
"I.2","hh3",0,"51059481105"
"I.3","hh3",1.415,"51059481105"
"I.4","hh3",23.136,"51059481105"
"I.5","hh3",4.46,"51059481105"
"I.6","hh3",11.233,"51059481105"
"I.7","hh3",52.719,"51059481105"
"I.8","hh3",34.374,"51059481105"
"I.9","hh3",244.901,"51059481105"
"I.1","hh4",0.723,"51059481105"
"I.2","hh4",0,"51059481105"
"I.3","hh4",4.525,"51059481105"
"I.4","hh4",13.994,"51059481105"
"I.5","hh4",3.944,"51059481105"
"I.6","hh4",7.637,"51059481105"
"I.7","hh4",50.79,"51059481105"
"I.8","hh4",39.842,"51059481105"
"I.9","hh4",366.545,"51059481105"
"I.1","hh5",0,"51059481105"
"I.2","hh5",0,"51059481105"
"I.3","hh5",1.184,"51059481105"
"I.4","hh5",4.646,"51059481105"
"I.5","hh5",3.33,"51059481105"
"I.6","hh5",5.303,"51059481105"
"I.7","hh5",22.759,"51059481105"
"I.8","hh5",16.096,"51059481105"
"I.9","hh5",70.683,"51059481105"
"I.1","hh1",22.975,"51059481104"
"I.2","hh1",21.908,"51059481104"
"I.3","hh1",2.667,"51059481104"
"I.4","hh1",21.944,"51059481104"
"I.5","hh1",48.665,"51059481104"
"I.6","hh1",67.212,"51059481104"
"I.7","hh1",84.35,"51059481104"
"I.8","hh1",35.672,"51059481104"
"I.9","hh1",14.608,"51059481104"
"I.1","hh2",4.895,"51059481104"
"I.2","hh2",6.909,"51059481104"
"I.3","hh2",0.97,"51059481104"
"I.4","hh2",10.588,"51059481104"
"I.5","hh2",24.755,"51059481104"
"I.6","hh2",34.019,"51059481104"
"I.7","hh2",54.849,"51059481104"
"I.8","hh2",43.184,"51059481104"
"I.9","hh2",40.831,"51059481104"
"I.1","hh3",3.631,"51059481104"
"I.2","hh3",1.539,"51059481104"
"I.3","hh3",0.232,"51059481104"
"I.4","hh3",9.886,"51059481104"
"I.5","hh3",12.438,"51059481104"
"I.6","hh3",25.775,"51059481104"
"I.7","hh3",48.205,"51059481104"
"I.8","hh3",22.746,"51059481104"
"I.9","hh3",34.548,"51059481104"
"I.1","hh4",6.499,"51059481104"
"I.2","hh4",19.268,"51059481104"
"I.3","hh4",0.933,"51059481104"
"I.4","hh4",9.007,"51059481104"
"I.5","hh4",22.594,"51059481104"
"I.6","hh4",42.645,"51059481104"
"I.7","hh4",81.986,"51059481104"
"I.8","hh4",36.418,"51059481104"
"I.9","hh4",42.65,"51059481104"
"I.1","hh5",0,"51059481104"
"I.2","hh5",2.376,"51059481104"
"I.3","hh5",0.197,"51059481104"
"I.4","hh5",2.576,"51059481104"
"I.5","hh5",8.547,"51059481104"
"I.6","hh5",11.35,"51059481104"
"I.7","hh5",22.61,"51059481104"
"I.8","hh5",11.981,"51059481104"
"I.9","hh5",14.363,"51059481104"
"I.1","hh1",14.01,"51059481103"
"I.2","hh1",19.458,"51059481103"
"I.3","hh1",17.333,"51059481103"
"I.4","hh1",28.337,"51059481103"
"I.5","hh1",46.871,"51059481103"
"I.6","hh1",37.322,"51059481103"
"I.7","hh1",76.83,"51059481103"
"I.8","hh1",23.134,"51059481103"
"I.9","hh1",11.705,"51059481103"
"I.1","hh2",4.338,"51059481103"
"I.2","hh2",10.224,"51059481103"
"I.3","hh2",6.648,"51059481103"
"I.4","hh2",18.77,"51059481103"
"I.5","hh2",35.294,"51059481103"
"I.6","hh2",29.453,"51059481103"
"I.7","hh2",72.753,"51059481103"
"I.8","hh2",37.595,"51059481103"
"I.9","hh2",37.925,"51059481103"
"I.1","hh3",2.262,"51059481103"
"I.2","hh3",1.46,"51059481103"
"I.3","hh3",1.557,"51059481103"
"I.4","hh3",13.254,"51059481103"
"I.5","hh3",12.366,"51059481103"
"I.6","hh3",14.681,"51059481103"
"I.7","hh3",45.4,"51059481103"
"I.8","hh3",15.044,"51059481103"
"I.9","hh3",27.975,"51059481103"
"I.1","hh4",3.39,"51059481103"
"I.2","hh4",53.562,"51059481103"
"I.3","hh4",16.464,"51059481103"
"I.4","hh4",27.102,"51059481103"
"I.5","hh4",34.867,"51059481103"
"I.6","hh4",17.084,"51059481103"
"I.7","hh4",101.504,"51059481103"
"I.8","hh4",22.112,"51059481103"
"I.9","hh4",34.915,"51059481103"
"I.1","hh5",0,"51059481103"
"I.2","hh5",12.296,"51059481103"
"I.3","hh5",2.998,"51059481103"
"I.4","hh5",10.538,"51059481103"
"I.5","hh5",24.601,"51059481103"
"I.6","hh5",12.46,"51059481103"
"I.7","hh5",52.513,"51059481103"
"I.8","hh5",12.114,"51059481103"
"I.9","hh5",14.48,"51059481103"
"I.1","hh1",7.565,"51059481102"
"I.2","hh1",18.215,"51059481102"
"I.3","hh1",6.334,"51059481102"
"I.4","hh1",18.133,"51059481102"
"I.5","hh1",36.164,"51059481102"
"I.6","hh1",49.174,"51059481102"
"I.7","hh1",61.12,"51059481102"
"I.8","hh1",43.202,"51059481102"
"I.9","hh1",21.093,"51059481102"
"I.1","hh2",2.508,"51059481102"
"I.2","hh2",12.421,"51059481102"
"I.3","hh2",2.622,"51059481102"
"I.4","hh2",13.872,"51059481102"
"I.5","hh2",32.066,"51059481102"
"I.6","hh2",46.335,"51059481102"
"I.7","hh2",67.17,"51059481102"
"I.8","hh2",83.847,"51059481102"
"I.9","hh2",75.161,"51059481102"
"I.1","hh3",1.547,"51059481102"
"I.2","hh3",9.207,"51059481102"
"I.3","hh3",0.725,"51059481102"
"I.4","hh3",15.743,"51059481102"
"I.5","hh3",20.499,"51059481102"
"I.6","hh3",49.816,"51059481102"
"I.7","hh3",71.176,"51059481102"
"I.8","hh3",74.535,"51059481102"
"I.9","hh3",76.752,"51059481102"
"I.1","hh4",1.38,"51059481102"
"I.2","hh4",36.395,"51059481102"
"I.3","hh4",2.737,"51059481102"
"I.4","hh4",8.531,"51059481102"
"I.5","hh4",17.84,"51059481102"
"I.6","hh4",33.409,"51059481102"
"I.7","hh4",61.246,"51059481102"
"I.8","hh4",78.894,"51059481102"
"I.9","hh4",79.568,"51059481102"
"I.1","hh5",0,"51059481102"
"I.2","hh5",6.762,"51059481102"
"I.3","hh5",0.582,"51059481102"
"I.4","hh5",3.722,"51059481102"
"I.5","hh5",12.432,"51059481102"
"I.6","hh5",18.266,"51059481102"
"I.7","hh5",30.288,"51059481102"
"I.8","hh5",30.522,"51059481102"
"I.9","hh5",29.426,"51059481102"
"I.1","hh1",9.421,"51059481101"
"I.2","hh1",0,"51059481101"
"I.3","hh1",2.487,"51059481101"
"I.4","hh1",34.223,"51059481101"
"I.5","hh1",85.871,"51059481101"
"I.6","hh1",130.546,"51059481101"
"I.7","hh1",128.272,"51059481101"
"I.8","hh1",44.519,"51059481101"
"I.9","hh1",29.662,"51059481101"
"I.1","hh2",5.048,"51059481101"
"I.2","hh2",0,"51059481101"
"I.3","hh2",2.284,"51059481101"
"I.4","hh2",21.536,"51059481101"
"I.5","hh2",60.693,"51059481101"
"I.6","hh2",97.586,"51059481101"
"I.7","hh2",135.654,"51059481101"
"I.8","hh2",77.552,"51059481101"
"I.9","hh2",74.647,"51059481101"
"I.1","hh3",2.957,"51059481101"
"I.2","hh3",0,"51059481101"
"I.3","hh3",1.122,"51059481101"
"I.4","hh3",13.237,"51059481101"
"I.5","hh3",13.665,"51059481101"
"I.6","hh3",30.739,"51059481101"
"I.7","hh3",64.367,"51059481101"
"I.8","hh3",29.126,"51059481101"
"I.9","hh3",56.786,"51059481101"
"I.1","hh4",2.573,"51059481101"
"I.2","hh4",0,"51059481101"
"I.3","hh4",2.108,"51059481101"
"I.4","hh4",6.004,"51059481101"
"I.5","hh4",9.77,"51059481101"
"I.6","hh4",14.129,"51059481101"
"I.7","hh4",33.708,"51059481101"
"I.8","hh4",21.803,"51059481101"
"I.9","hh4",34.905,"51059481101"
"I.1","hh5",0,"51059481101"
"I.2","hh5",0,"51059481101"
"I.3","hh5",0,"51059481101"
"I.4","hh5",0,"51059481101"
"I.5","hh5",0,"51059481101"
"I.6","hh5",0,"51059481101"
"I.7","hh5",0,"51059481101"
"I.8","hh5",0,"51059481101"
"I.9","hh5",0,"51059481101"
"I.1","hh1",5.92,"51059481000"
"I.2","hh1",18.813,"51059481000"
"I.3","hh1",14.81,"51059481000"
"I.4","hh1",25.248,"51059481000"
"I.5","hh1",59.421,"51059481000"
"I.6","hh1",68.744,"51059481000"
"I.7","hh1",71.786,"51059481000"
"I.8","hh1",40.502,"51059481000"
"I.9","hh1",18.756,"51059481000"
"I.1","hh2",2.01,"51059481000"
"I.2","hh2",16.757,"51059481000"
"I.3","hh2",7.691,"51059481000"
"I.4","hh2",24.283,"51059481000"
"I.5","hh2",76.497,"51059481000"
"I.6","hh2",89.818,"51059481000"
"I.7","hh2",94.049,"51059481000"
"I.8","hh2",90.02,"51059481000"
"I.9","hh2",70.874,"51059481000"
"I.1","hh3",1.089,"51059481000"
"I.2","hh3",4.452,"51059481000"
"I.3","hh3",2.308,"51059481000"
"I.4","hh3",24.126,"51059481000"
"I.5","hh3",52.945,"51059481000"
"I.6","hh3",84.156,"51059481000"
"I.7","hh3",77.773,"51059481000"
"I.8","hh3",48.368,"51059481000"
"I.9","hh3",58.784,"51059481000"
"I.1","hh4",0.98,"51059481000"
"I.2","hh4",18.937,"51059481000"
"I.3","hh4",9.548,"51059481000"
"I.4","hh4",14.63,"51059481000"
"I.5","hh4",63.61,"51059481000"
"I.6","hh4",72.429,"51059481000"
"I.7","hh4",72.033,"51059481000"
"I.8","hh4",53.663,"51059481000"
"I.9","hh4",62.17,"51059481000"
"I.1","hh5",0,"51059481000"
"I.2","hh5",30.041,"51059481000"
"I.3","hh5",2.644,"51059481000"
"I.4","hh5",10.713,"51059481000"
"I.5","hh5",184.528,"51059481000"
"I.6","hh5",133.853,"51059481000"
"I.7","hh5",57.359,"51059481000"
"I.8","hh5",38.447,"51059481000"
"I.9","hh5",28.416,"51059481000"
"I.1","hh1",64.243,"51059480903"
"I.2","hh1",24.081,"51059480903"
"I.3","hh1",31.732,"51059480903"
"I.4","hh1",40.424,"51059480903"
"I.5","hh1",57.624,"51059480903"
"I.6","hh1",111.874,"51059480903"
"I.7","hh1",95.08,"51059480903"
"I.8","hh1",42.019,"51059480903"
"I.9","hh1",13.922,"51059480903"
"I.1","hh2",23.18,"51059480903"
"I.2","hh2",13.988,"51059480903"
"I.3","hh2",13.465,"51059480903"
"I.4","hh2",29.499,"51059480903"
"I.5","hh2",46.964,"51059480903"
"I.6","hh2",99.314,"51059480903"
"I.7","hh2",96.749,"51059480903"
"I.8","hh2",71.739,"51059480903"
"I.9","hh2",46.101,"51059480903"
"I.1","hh3",6.869,"51059480903"
"I.2","hh3",1.351,"51059480903"
"I.3","hh3",2.133,"51059480903"
"I.4","hh3",14.44,"51059480903"
"I.5","hh3",12.093,"51059480903"
"I.6","hh3",31.884,"51059480903"
"I.7","hh3",45.646,"51059480903"
"I.8","hh3",23.365,"51059480903"
"I.9","hh3",31.219,"51059480903"
"I.1","hh4",12.707,"51059480903"
"I.2","hh4",6.201,"51059480903"
"I.3","hh4",12.636,"51059480903"
"I.4","hh4",11.422,"51059480903"
"I.5","hh4",14.098,"51059480903"
"I.6","hh4",34.624,"51059480903"
"I.7","hh4",51.25,"51059480903"
"I.8","hh4",29.331,"51059480903"
"I.9","hh4",34.731,"51059480903"
"I.1","hh5",0,"51059480903"
"I.2","hh5",6.379,"51059480903"
"I.3","hh5",5.035,"51059480903"
"I.4","hh5",10.215,"51059480903"
"I.5","hh5",19.22,"51059480903"
"I.6","hh5",61.304,"51059480903"
"I.7","hh5",45.274,"51059480903"
"I.8","hh5",21.546,"51059480903"
"I.9","hh5",16.027,"51059480903"
"I.1","hh1",4.158,"51059480902"
"I.2","hh1",9.477,"51059480902"
"I.3","hh1",21.349,"51059480902"
"I.4","hh1",31.479,"51059480902"
"I.5","hh1",44.576,"51059480902"
"I.6","hh1",34.057,"51059480902"
"I.7","hh1",56.92,"51059480902"
"I.8","hh1",31.051,"51059480902"
"I.9","hh1",18.934,"51059480902"
"I.1","hh2",1.439,"51059480902"
"I.2","hh2",7.73,"51059480902"
"I.3","hh2",21.86,"51059480902"
"I.4","hh2",59.095,"51059480902"
"I.5","hh2",71.329,"51059480902"
"I.6","hh2",40.602,"51059480902"
"I.7","hh2",85.906,"51059480902"
"I.8","hh2",77.887,"51059480902"
"I.9","hh2",81.151,"51059480902"
"I.1","hh3",0.747,"51059480902"
"I.2","hh3",1.186,"51059480902"
"I.3","hh3",8.039,"51059480902"
"I.4","hh3",69.287,"51059480902"
"I.5","hh3",32.206,"51059480902"
"I.6","hh3",22.243,"51059480902"
"I.7","hh3",59.462,"51059480902"
"I.8","hh3",34.924,"51059480902"
"I.9","hh3",63.906,"51059480902"
"I.1","hh4",0.656,"51059480902"
"I.2","hh4",3.456,"51059480902"
"I.3","hh4",27.911,"51059480902"
"I.4","hh4",33.319,"51059480902"
"I.5","hh4",25.643,"51059480902"
"I.6","hh4",13.704,"51059480902"
"I.7","hh4",48.109,"51059480902"
"I.8","hh4",33.941,"51059480902"
"I.9","hh4",64.262,"51059480902"
"I.1","hh5",0,"51059480902"
"I.2","hh5",2.151,"51059480902"
"I.3","hh5",6.841,"51059480902"
"I.4","hh5",19.821,"51059480902"
"I.5","hh5",25.247,"51059480902"
"I.6","hh5",11.394,"51059480902"
"I.7","hh5",31.602,"51059480902"
"I.8","hh5",20.197,"51059480902"
"I.9","hh5",27.747,"51059480902"
"I.1","hh1",21.176,"51059480901"
"I.2","hh1",13.031,"51059480901"
"I.3","hh1",17.347,"51059480901"
"I.4","hh1",22.627,"51059480901"
"I.5","hh1",40.885,"51059480901"
"I.6","hh1",45.247,"51059480901"
"I.7","hh1",60.556,"51059480901"
"I.8","hh1",31.339,"51059480901"
"I.9","hh1",26.793,"51059480901"
"I.1","hh2",14.307,"51059480901"
"I.2","hh2",14.459,"51059480901"
"I.3","hh2",15.078,"51059480901"
"I.4","hh2",30.783,"51059480901"
"I.5","hh2",65.873,"51059480901"
"I.6","hh2",69.652,"51059480901"
"I.7","hh2",101.093,"51059480901"
"I.8","hh2",83.287,"51059480901"
"I.9","hh2",139.467,"51059480901"
"I.1","hh3",5.474,"51059480901"
"I.2","hh3",1.513,"51059480901"
"I.3","hh3",2.522,"51059480901"
"I.4","hh3",16.076,"51059480901"
"I.5","hh3",16.826,"51059480901"
"I.6","hh3",26.728,"51059480901"
"I.7","hh3",50.092,"51059480901"
"I.8","hh3",27.764,"51059480901"
"I.9","hh3",87.005,"51059480901"
"I.1","hh4",10.044,"51059480901"
"I.2","hh4",8.669,"51059480901"
"I.3","hh4",20.518,"51059480901"
"I.4","hh4",15.817,"51059480901"
"I.5","hh4",27.839,"51059480901"
"I.6","hh4",29.748,"51059480901"
"I.7","hh4",64.765,"51059480901"
"I.8","hh4",39.995,"51059480901"
"I.9","hh4",126.606,"51059480901"
"I.1","hh5",0,"51059480901"
"I.2","hh5",18.329,"51059480901"
"I.3","hh5",40.534,"51059480901"
"I.4","hh5",25.697,"51059480901"
"I.5","hh5",102.577,"51059480901"
"I.6","hh5",57.624,"51059480901"
"I.7","hh5",72.494,"51059480901"
"I.8","hh5",35.615,"51059480901"
"I.9","hh5",80.13,"51059480901"
"I.1","hh1",12.845,"51059480802"
"I.2","hh1",10.785,"51059480802"
"I.3","hh1",12.309,"51059480802"
"I.4","hh1",22.597,"51059480802"
"I.5","hh1",30.413,"51059480802"
"I.6","hh1",43.667,"51059480802"
"I.7","hh1",53.362,"51059480802"
"I.8","hh1",29.771,"51059480802"
"I.9","hh1",30.251,"51059480802"
"I.1","hh2",6.371,"51059480802"
"I.2","hh2",11.212,"51059480802"
"I.3","hh2",8.612,"51059480802"
"I.4","hh2",35.508,"51059480802"
"I.5","hh2",41.633,"51059480802"
"I.6","hh2",73.606,"51059480802"
"I.7","hh2",88.785,"51059480802"
"I.8","hh2",82.964,"51059480802"
"I.9","hh2",188.309,"51059480802"
"I.1","hh3",2.739,"51059480802"
"I.2","hh3",1.168,"51059480802"
"I.3","hh3",1.558,"51059480802"
"I.4","hh3",16.988,"51059480802"
"I.5","hh3",11.227,"51059480802"
"I.6","hh3",26.622,"51059480802"
"I.7","hh3",43.412,"51059480802"
"I.8","hh3",26.769,"51059480802"
"I.9","hh3",107.517,"51059480802"
"I.1","hh4",2.045,"51059480802"
"I.2","hh4",2.74,"51059480802"
"I.3","hh4",4.692,"51059480802"
"I.4","hh4",6.586,"51059480802"
"I.5","hh4",7.539,"51059480802"
"I.6","hh4",12.788,"51059480802"
"I.7","hh4",29.319,"51059480802"
"I.8","hh4",21.809,"51059480802"
"I.9","hh4",86.483,"51059480802"
"I.1","hh5",0,"51059480802"
"I.2","hh5",3.094,"51059480802"
"I.3","hh5",1.829,"51059480802"
"I.4","hh5",8.32,"51059480802"
"I.5","hh5",12.189,"51059480802"
"I.6","hh5",21.318,"51059480802"
"I.7","hh5",31.123,"51059480802"
"I.8","hh5",20.687,"51059480802"
"I.9","hh5",67.441,"51059480802"
"I.1","hh1",21.515,"51059480801"
"I.2","hh1",8.571,"51059480801"
"I.3","hh1",12.242,"51059480801"
"I.4","hh1",12.179,"51059480801"
"I.5","hh1",31.92,"51059480801"
"I.6","hh1",35.679,"51059480801"
"I.7","hh1",56.135,"51059480801"
"I.8","hh1",34.825,"51059480801"
"I.9","hh1",22.934,"51059480801"
"I.1","hh2",22.283,"51059480801"
"I.2","hh2",8.147,"51059480801"
"I.3","hh2",9.539,"51059480801"
"I.4","hh2",12.591,"51059480801"
"I.5","hh2",51.322,"51059480801"
"I.6","hh2",55.386,"51059480801"
"I.7","hh2",108.682,"51059480801"
"I.8","hh2",125.69,"51059480801"
"I.9","hh2",126.361,"51059480801"
"I.1","hh3",21.948,"51059480801"
"I.2","hh3",1.315,"51059480801"
"I.3","hh3",2.712,"51059480801"
"I.4","hh3",9.491,"51059480801"
"I.5","hh3",22.254,"51059480801"
"I.6","hh3",33.358,"51059480801"
"I.7","hh3",82.482,"51059480801"
"I.8","hh3",65.874,"51059480801"
"I.9","hh3",107.565,"51059480801"
"I.1","hh4",18.254,"51059480801"
"I.2","hh4",3.817,"51059480801"
"I.3","hh4",9.89,"51059480801"
"I.4","hh4",4.917,"51059480801"
"I.5","hh4",18.074,"51059480801"
"I.6","hh4",20.562,"51059480801"
"I.7","hh4",66.808,"51059480801"
"I.8","hh4",63.704,"51059480801"
"I.9","hh4",107.974,"51059480801"
"I.1","hh5",0,"51059480801"
"I.2","hh5",4.151,"51059480801"
"I.3","hh5",5.617,"51059480801"
"I.4","hh5",3.822,"51059480801"
"I.5","hh5",52.429,"51059480801"
"I.6","hh5",38.014,"51059480801"
"I.7","hh5",109.893,"51059480801"
"I.8","hh5",152.907,"51059480801"
"I.9","hh5",75.166,"51059480801"
"I.1","hh1",91.923,"51059480505"
"I.2","hh1",0,"51059480505"
"I.3","hh1",19.846,"51059480505"
"I.4","hh1",21.989,"51059480505"
"I.5","hh1",46.542,"51059480505"
"I.6","hh1",113.345,"51059480505"
"I.7","hh1",254.655,"51059480505"
"I.8","hh1",65.737,"51059480505"
"I.9","hh1",50.962,"51059480505"
