"rowname","variable","value","geoid"
"I.5","hh1",44.782,"51600300200"
"I.6","hh1",51.069,"51600300200"
"I.7","hh1",65.206,"51600300200"
"I.8","hh1",38.975,"51600300200"
"I.9","hh1",33.237,"51600300200"
"I.1","hh2",6.813,"51600300200"
"I.2","hh2",19.272,"51600300200"
"I.3","hh2",13.849,"51600300200"
"I.4","hh2",17.663,"51600300200"
"I.5","hh2",28.494,"51600300200"
"I.6","hh2",46.377,"51600300200"
"I.7","hh2",84.635,"51600300200"
"I.8","hh2",100.295,"51600300200"
"I.9","hh2",170.601,"51600300200"
"I.1","hh3",8.656,"51600300200"
"I.2","hh3",5.044,"51600300200"
"I.3","hh3",12.348,"51600300200"
"I.4","hh3",15.482,"51600300200"
"I.5","hh3",16.617,"51600300200"
"I.6","hh3",35.981,"51600300200"
"I.7","hh3",71.893,"51600300200"
"I.8","hh3",84.498,"51600300200"
"I.9","hh3",182.479,"51600300200"
"I.1","hh4",4.342,"51600300200"
"I.2","hh4",2.817,"51600300200"
"I.3","hh4",9.353,"51600300200"
"I.4","hh4",5.761,"51600300200"
"I.5","hh4",13.934,"51600300200"
"I.6","hh4",24.021,"51600300200"
"I.7","hh4",47.686,"51600300200"
"I.8","hh4",81.538,"51600300200"
"I.9","hh4",145.549,"51600300200"
"I.1","hh5",33.441,"51600300200"
"I.2","hh5",0.808,"51600300200"
"I.3","hh5",8.836,"51600300200"
"I.4","hh5",5.781,"51600300200"
"I.5","hh5",5.173,"51600300200"
"I.6","hh5",12.552,"51600300200"
"I.7","hh5",36.581,"51600300200"
"I.8","hh5",55.693,"51600300200"
"I.9","hh5",100.134,"51600300200"
"I.1","hh1",28.588,"51600300100"
"I.2","hh1",148.112,"51600300100"
"I.3","hh1",34.81,"51600300100"
"I.4","hh1",75.2,"51600300100"
"I.5","hh1",83.93,"51600300100"
"I.6","hh1",66.041,"51600300100"
"I.7","hh1",64.742,"51600300100"
"I.8","hh1",35.85,"51600300100"
"I.9","hh1",29.728,"51600300100"
"I.1","hh2",2.619,"51600300100"
"I.2","hh2",49.198,"51600300100"
"I.3","hh2",17.58,"51600300100"
"I.4","hh2",37.498,"51600300100"
"I.5","hh2",48.952,"51600300100"
"I.6","hh2",57.28,"51600300100"
"I.7","hh2",82.764,"51600300100"
"I.8","hh2",91.336,"51600300100"
"I.9","hh2",151.772,"51600300100"
"I.1","hh3",1.357,"51600300100"
"I.2","hh3",20.477,"51600300100"
"I.3","hh3",13.247,"51600300100"
"I.4","hh3",35.276,"51600300100"
"I.5","hh3",28.226,"51600300100"
"I.6","hh3",39.333,"51600300100"
"I.7","hh3",60.08,"51600300100"
"I.8","hh3",63.809,"51600300100"
"I.9","hh3",133.194,"51600300100"
"I.1","hh4",1.221,"51600300100"
"I.2","hh4",27.711,"51600300100"
"I.3","hh4",13.578,"51600300100"
"I.4","hh4",17.073,"51600300100"
"I.5","hh4",28.509,"51600300100"
"I.6","hh4",32.355,"51600300100"
"I.7","hh4",47.553,"51600300100"
"I.8","hh4",74.586,"51600300100"
"I.9","hh4",129.413,"51600300100"
"I.1","hh5",5.215,"51600300100"
"I.2","hh5",1.502,"51600300100"
"I.3","hh5",7.785,"51600300100"
"I.4","hh5",9.952,"51600300100"
"I.5","hh5",7.383,"51600300100"
"I.6","hh5",11.99,"51600300100"
"I.7","hh5",27.861,"51600300100"
"I.8","hh5",38.419,"51600300100"
"I.9","hh5",66.893,"51600300100"
"I.1","hh1",7.38,"51610500300"
"I.2","hh1",53.88,"51610500300"
"I.3","hh1",24.578,"51610500300"
"I.4","hh1",36.894,"51610500300"
"I.5","hh1",124.795,"51610500300"
"I.6","hh1",73.286,"51610500300"
"I.7","hh1",93.109,"51610500300"
"I.8","hh1",33.13,"51610500300"
"I.9","hh1",40.947,"51610500300"
"I.1","hh2",2.03,"51610500300"
"I.2","hh2",17.983,"51610500300"
"I.3","hh2",26.016,"51610500300"
"I.4","hh2",20.232,"51610500300"
"I.5","hh2",69.68,"51610500300"
"I.6","hh2",35.811,"51610500300"
"I.7","hh2",102.499,"51610500300"
"I.8","hh2",62.811,"51610500300"
"I.9","hh2",191.94,"51610500300"
"I.1","hh3",0.932,"51610500300"
"I.2","hh3",2.982,"51610500300"
"I.3","hh3",3.405,"51610500300"
"I.4","hh3",10.767,"51610500300"
"I.5","hh3",16.912,"51610500300"
"I.6","hh3",11.508,"51610500300"
"I.7","hh3",47.36,"51610500300"
"I.8","hh3",36.13,"51610500300"
"I.9","hh3",114.005,"51610500300"
"I.1","hh4",0.441,"51610500300"
"I.2","hh4",6.129,"51610500300"
"I.3","hh4",0,"51610500300"
"I.4","hh4",6.601,"51610500300"
"I.5","hh4",38.779,"51610500300"
"I.6","hh4",13.467,"51610500300"
"I.7","hh4",37.221,"51610500300"
"I.8","hh4",31.506,"51610500300"
"I.9","hh4",142.858,"51610500300"
"I.1","hh5",0.218,"51610500300"
