"PUMA","SERIAL","income_cat","hh_recode","adult","preschooler","toddler","schooler","teenager","infant","hhincome","hh_num","per1","per2","per3","per4","per5","per6","per7","per8","per9","per10","per11","per12","per13","per14","per15","HINSEMP","marst1","marst2","marst3","marst4","marst5","marst6"
59301,6279235,"$200,000 or more",4,4,0,0,0,0,0,638973.61460772,9,58,58,18,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,1,0,0,1
59301,6279437,"$100,000 to $149,999",1,1,0,0,0,0,0,134207.50547786,14,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,1
59301,6279518,"$200,000 or more",2,2,0,0,0,0,0,274036.08662372,8,65,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0,0
59301,6279565,"$50,000 to $74,999",1,1,0,0,0,0,0,73458.81117204,15,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,1,0,0
59301,6279588,"$50,000 to $74,999",1,1,0,0,0,0,0,52470.5794086,9,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0
59301,6279590,"$75,000 to $99,999",4,4,0,0,0,0,0,88267.10262895,10,73,66,28,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,1,0,0,1
59301,6279594,"$50,000 to $74,999",2,2,0,0,0,0,0,60550.87568135,13,73,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,1
59301,6279632,"$150,000 to $199,999",2,2,0,0,0,0,0,165584.99844229,25,52,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0,0
59301,6279652,"$200,000 or more",4,2,1,1,0,0,0,338143.37364117,13,33,34,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0,2
59301,6279701,"$75,000 to $99,999",2,2,0,0,0,0,0,83485.94538288,12,28,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0,0
59301,6279724,"$75,000 to $99,999",5,2,0,0,1,2,0,93280.66973437,11,39,42,12,11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,3
59301,6279766,"Less than $15,000",2,1,0,0,0,1,0,4489.29370177,16,52,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,1,0,0,1
59301,6279782,"$75,000 to $99,999",2,2,0,0,0,0,0,95263.17988343,27,28,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,2
59301,6279805,"$50,000 to $74,999",3,2,0,1,0,0,0,57134.99123695,43,44,28,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,2
59301,6279886,"$50,000 to $74,999",1,1,0,0,0,0,0,61798.32208921,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,1
59301,6279895,"$50,000 to $74,999",4,2,0,0,1,1,0,54802.24483473,14,48,42,12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0,2
59301,6280073,"$200,000 or more",1,1,0,0,0,0,0,590001.07382636,7,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,0,0,0
59301,6280097,"$25,000 to $34,999",1,1,0,0,0,0,0,30315.97444405,13,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0
59301,6280341,"$200,000 or more",3,2,0,0,0,0,1,222708.09894225,13,34,36,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0,1
59301,6280378,"Less than $15,000",1,1,0,0,0,0,0,1632.2738959,22,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,1
59301,6280517,"$200,000 or more",2,2,0,0,0,0,0,208482.45359785,7,58,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0,0
59301,6280562,"$150,000 to $199,999",2,2,0,0,0,0,0,196589.55465567,7,68,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0,0
59301,6280608,"$150,000 to $199,999",4,2,1,1,0,0,0,151580.95319634,14,33,39,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0,2
59301,6280717,"$100,000 to $149,999",2,2,0,0,0,0,0,106106.45104222,12,46,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0,0
59301,6280775,"$150,000 to $199,999",1,1,0,0,0,0,0,158577.03045082,14,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,1
59301,6280892,"$200,000 or more",5,2,0,0,2,0,1,683281.74356073,7,42,35,10,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0,3
59301,6280915,"$100,000 to $149,999",3,2,0,0,0,1,0,101443.12018996,11,45,45,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0,1
59301,6280958,"$200,000 or more",3,2,0,0,1,0,0,312490.73004938,15,45,39,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,1
59301,6280974,"$35,000 to $49,999",4,3,0,0,1,0,0,49555.18689387,12,52,52,23,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,2
59301,6280976,"$200,000 or more",5,3,1,0,2,0,0,233202.21482397,95,53,33,8,7,4,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,0,0,0,3
59301,6280995,"$100,000 to $149,999",5,2,0,0,2,1,1,134090.76006014,43,42,35,0,14,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0,4
59301,6281054,"$150,000 to $199,999",2,2,0,0,0,0,0,163241.44227917,25,52,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0,0
59301,6281140,"$150,000 to $199,999",3,2,0,0,1,0,0,163241.44227917,15,44,38,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,1
59301,6281148,"$25,000 to $34,999",1,1,0,0,0,0,0,29150.68221903,23,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1
59301,6281214,"$75,000 to $99,999",3,3,0,0,0,0,0,89316.73041234,9,63,52,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,2
59301,6281228,"$200,000 or more",5,4,0,0,0,2,0,425826.74918152,12,44,47,15,12,73,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,0,0,0,0,2
59301,6281247,"$200,000 or more",2,2,0,0,0,0,0,291502.49828594,12,41,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0,0
59301,6281255,"$200,000 or more",2,2,0,0,0,0,0,229704.17619673,8,39,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0,0
59301,6281363,"$200,000 or more",3,2,1,0,0,0,0,294708.67336888,8,49,44,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0,1
59301,6281408,"$200,000 or more",2,2,0,0,0,0,0,321993.59085657,12,38,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,1,0,1
59301,6281423,"$100,000 to $149,999",2,2,0,0,0,0,0,116600.56692394,9,29,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,2
59301,6281463,"$150,000 to $199,999",2,2,0,0,0,0,0,169828.91057163,16,71,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0,0
59301,6281485,"$100,000 to $149,999",1,1,0,0,0,0,0,125929.39058064,9,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,1
59301,6281624,"$35,000 to $49,999",4,2,0,0,0,2,0,44776.19159998,8,72,47,16,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,2
59301,6281626,"$200,000 or more",2,2,0,0,0,0,0,320419.68966953,15,64,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0,0
59301,6281696,"$35,000 to $49,999",2,2,0,0,0,0,0,39644.79810075,13,57,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0,0
59301,6281730,"$150,000 to $199,999",2,2,0,0,0,0,0,183763.77334782,14,70,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0,0
59301,6281835,"$200,000 or more",1,1,0,0,0,0,0,596297.75955061,8,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,0,0,0
59301,6281924,"$200,000 or more",4,4,0,0,0,0,0,397143.04863337,22,55,18,18,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,1,1,0,2
59301,6281949,"$150,000 to $199,999",4,3,0,1,0,0,0,165573.1077053,45,34,40,42,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,1,0,1
59301,6282003,"$25,000 to $34,999",1,1,0,0,0,0,0,25652.64359179,7,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0
