"PUMA","SERIAL","income_cat","hh_recode","adult","preschooler","toddler","schooler","teenager","infant","hhincome","pop","hh_compos","healthcare_cost_month","taxes_month"
59301,6279235,"$200,000 or more",4,4,0,0,0,0,0,604183.900068,9,"400000",738.502656043956,15150.7358333333
59301,6279437,"$100,000 to $149,999",1,1,0,0,0,0,0,126900.410634,14,"100000",115.559235164835,2735.085
59301,6279518,"$200,000 or more",2,2,0,0,0,0,0,259115.850468,8,"200000",436.710779120879,4962.67833333333
59301,6279565,"$50,000 to $74,999",1,1,0,0,0,0,0,69459.254676,15,"100000",219.704606593407,1196.00583333333
59301,6279588,"$35,000 to $49,999",1,1,0,0,0,0,0,49613.75334,9,"100000",169.650010737657,687.83
59301,6279590,"$75,000 to $99,999",4,4,0,0,0,0,0,83461.290255,10,"400000",687.422256043956,1125.58583333333
59301,6279594,"$50,000 to $74,999",2,2,0,0,0,0,0,57254.107815,13,"200000",95.0379189232646,848.7825
59301,6279632,"$150,000 to $199,999",2,2,0,0,0,0,0,156569.516901,25,"200000",332.813979120879,2760.78416666667
59301,6279652,"$200,000 or more",4,2,1,1,0,0,0,319732.736373,13,"200110",378.985456043956,6051.33583333333
59301,6279701,"$75,000 to $99,999",2,2,0,0,0,0,0,78940.449072,12,"200000",201.930779120879,1061.5
59301,6279724,"$75,000 to $99,999",5,2,0,0,1,2,0,88201.887453,11,"221000",126.241139355555,470.4425
59301,6279766,"Less than $15,000",2,1,0,0,0,1,0,4244.868513,16,"110000",2.89302884615385,0
59301,6279782,"$75,000 to $99,999",2,2,0,0,0,0,0,90076.457367,27,"200000",537.499236628508,1729.895
59301,6279805,"$50,000 to $74,999",3,2,0,1,0,0,0,54024.205455,43,"200010",63.9207802197802,546.309166666667
59301,6279886,"$50,000 to $74,999",1,1,0,0,0,0,0,58433.635449,20,"100000",99.1674065934066,910.493333333333
59301,6279895,"$50,000 to $74,999",4,2,0,0,1,1,0,51818.468337,14,"211000",440.826546153846,74.7866666666667
59301,6280073,"$200,000 or more",1,1,0,0,0,0,0,557877.730284,7,"100000",219.456035164835,13640.2141666667
59301,6280097,"$25,000 to $34,999",1,1,0,0,0,0,0,28665.383445,13,"100000",23.0247252747253,345.320833333333
59301,6280341,"$200,000 or more",3,2,0,0,0,0,1,210582.479025,13,"200001",304.194312087912,3728.07666666667
59301,6280378,"Less than $15,000",1,1,0,0,0,0,0,1543.40271,22,"100000",1.91872710622711,0
59301,6280517,"$150,000 to $199,999",2,2,0,0,0,0,0,197131.366665,7,"200000",436.710779120879,3595.76333333333
59301,6280562,"$150,000 to $199,999",2,2,0,0,0,0,0,185885.991423,7,"200000",436.710779120879,3336.44916666667
59301,6280608,"$100,000 to $149,999",4,2,1,1,0,0,0,143327.939346,14,"200110",378.985456043956,1990.48083333333
59301,6280717,"$100,000 to $149,999",2,2,0,0,0,0,0,100329.353118,12,"200000",265.672779120879,1428.57
59301,6280775,"$100,000 to $149,999",1,1,0,0,0,0,0,149943.106458,14,"100000",219.456035164835,3285.60916666667
59301,6280892,"$200,000 or more",5,2,0,0,2,0,1,646079.617737,7,"202001",490.257086970173,16522.9975
59301,6280915,"$75,000 to $99,999",3,2,0,0,0,1,0,95919.923124,11,"210000",388.415512087912,1102.89583333333
59301,6280958,"$200,000 or more",3,2,0,0,1,0,0,295476.782922,15,"201000",1053.31791208791,5659.79583333333
59301,6280974,"$35,000 to $49,999",4,3,0,0,1,0,0,46857.093003,12,"301000",80.4917582417582,254.074166666667
59301,6280976,"$200,000 or more",5,3,1,0,2,0,0,220505.229693,95,"302100",753.759486970173,3615.29916666667
59301,6280995,"$100,000 to $149,999",5,2,0,0,2,1,1,126790.021566,43,"212001",545.604686970173,1327.93916666667
59301,6281054,"$150,000 to $199,999",2,2,0,0,0,0,0,154353.558573,25,"200000",436.710779120879,2715.40083333333
59301,6281140,"$150,000 to $199,999",3,2,0,0,1,0,0,154353.558573,15,"201000",902.261461565366,2514.4375
59301,6281148,"$25,000 to $34,999",1,1,0,0,0,0,0,27563.537007,23,"100000",23.0247252747253,326.411666666667
59301,6281214,"$75,000 to $99,999",3,3,0,0,0,0,0,84453.769746,9,"300000",63.9179120879121,1584.29333333333
59301,6281228,"$200,000 or more",5,4,0,0,0,2,0,402642.081288,12,"420000",875.097486970173,8424.19166666667
