"geoid","income_recode","size_recode","ipf"
"51600300500",1,1,40
"51600300500",2,1,24
"51600300500",3,1,19
"51600300500",4,1,19
"51600300500",5,1,28
"51600300500",6,1,57
"51600300500",7,1,53
"51600300500",8,1,23
"51600300500",9,1,18
"51600300500",1,2,9
"51600300500",2,2,27
"51600300500",3,2,21
"51600300500",4,2,17
"51600300500",5,2,25
"51600300500",6,2,115
"51600300500",7,2,114
"51600300500",8,2,89
"51600300500",9,2,139
"51600300500",1,3,1
"51600300500",2,3,2
"51600300500",3,3,5
"51600300500",4,3,7
"51600300500",5,3,8
"51600300500",6,3,25
"51600300500",7,3,40
"51600300500",8,3,34
"51600300500",9,3,68
"51600300500",1,4,4
"51600300500",2,4,3
"51600300500",3,4,12
"51600300500",4,4,5
"51600300500",5,4,11
"51600300500",6,4,54
"51600300500",7,4,56
"51600300500",8,4,62
"51600300500",9,4,100
"51600300500",1,5,6
"51600300500",2,5,0
"51600300500",3,5,4
"51600300500",4,5,3
"51600300500",5,5,2
"51600300500",6,5,9
"51600300500",7,5,20
"51600300500",8,5,23
"51600300500",9,5,38
"51600300400",1,1,22
"51600300400",2,1,15
"51600300400",3,1,14
"51600300400",4,1,22
"51600300400",5,1,28
"51600300400",6,1,35
"51600300400",7,1,34
"51600300400",8,1,20
"51600300400",9,1,13
"51600300400",1,2,8
"51600300400",2,2,28
"51600300400",3,2,48
"51600300400",4,2,59
"51600300400",5,2,42
"51600300400",6,2,134
"51600300400",7,2,99
"51600300400",8,2,126
"51600300400",9,2,137
"51600300400",1,3,2
"51600300400",2,3,2
"51600300400",3,3,10
"51600300400",4,3,17
"51600300400",5,3,13
"51600300400",6,3,36
"51600300400",7,3,44
"51600300400",8,3,51
"51600300400",9,3,79
"51600300400",1,4,2
"51600300400",2,4,2
"51600300400",3,4,10
"51600300400",4,4,8
"51600300400",5,4,13
"51600300400",6,4,30
"51600300400",7,4,35
"51600300400",8,4,60
"51600300400",9,4,76
"51600300400",1,5,3
"51600300400",2,5,0
"51600300400",3,5,2
"51600300400",4,5,2
"51600300400",5,5,2
"51600300400",6,5,4
"51600300400",7,5,11
"51600300400",8,5,16
"51600300400",9,5,23
"51600300300",1,1,147
"51600300300",2,1,40
"51600300300",3,1,73
"51600300300",4,1,79
"51600300300",5,1,110
"51600300300",6,1,64
"51600300300",7,1,76
"51600300300",8,1,29
"51600300300",9,1,38
"51600300300",1,2,12
"51600300300",2,2,22
"51600300300",3,2,39
"51600300300",4,2,46
"51600300300",5,2,70
"51600300300",6,2,61
"51600300300",7,2,103
"51600300300",8,2,81
"51600300300",9,2,204
"51600300300",1,3,17
"51600300300",2,3,4
"51600300300",3,3,53
"51600300300",4,3,48
"51600300300",5,3,46
"51600300300",6,3,42
"51600300300",7,3,78
"51600300300",8,3,55
"51600300300",9,3,191
"51600300300",1,4,1
"51600300300",2,4,1
"51600300300",3,4,5
"51600300300",4,4,4
"51600300300",5,4,11
"51600300300",6,4,13
"51600300300",7,4,26
"51600300300",8,4,33
"51600300300",9,4,73
"51600300300",1,5,28
"51600300300",2,5,1
"51600300300",3,5,18
"51600300300",4,5,12
"51600300300",5,5,11
"51600300300",6,5,13
"51600300300",7,5,34
"51600300300",8,5,33
"51600300300",9,5,90
"51600300200",1,1,85
"51600300200",2,1,38
"51600300200",3,1,26
"51600300200",4,1,30
"51600300200",5,1,45
"51600300200",6,1,51
"51600300200",7,1,65
"51600300200",8,1,39
"51600300200",9,1,33
"51600300200",1,2,7
"51600300200",2,2,19
"51600300200",3,2,14
"51600300200",4,2,18
"51600300200",5,2,28
"51600300200",6,2,46
"51600300200",7,2,85
"51600300200",8,2,100
"51600300200",9,2,171
"51600300200",1,3,9
"51600300200",2,3,5
"51600300200",3,3,12
"51600300200",4,3,15
"51600300200",5,3,17
"51600300200",6,3,36
"51600300200",7,3,72
"51600300200",8,3,84
"51600300200",9,3,182
"51600300200",1,4,4
"51600300200",2,4,3
"51600300200",3,4,9
"51600300200",4,4,6
"51600300200",5,4,14
"51600300200",6,4,24
"51600300200",7,4,48
"51600300200",8,4,82
"51600300200",9,4,146
"51600300200",1,5,33
"51600300200",2,5,1
"51600300200",3,5,9
"51600300200",4,5,6
"51600300200",5,5,5
"51600300200",6,5,13
"51600300200",7,5,37
"51600300200",8,5,56
"51600300200",9,5,100
"51600300100",1,1,29
"51600300100",2,1,148
"51600300100",3,1,35
"51600300100",4,1,75
"51600300100",5,1,84
"51600300100",6,1,66
"51600300100",7,1,65
"51600300100",8,1,36
"51600300100",9,1,30
"51600300100",1,2,3
"51600300100",2,2,49
"51600300100",3,2,18
"51600300100",4,2,37
"51600300100",5,2,49
"51600300100",6,2,57
"51600300100",7,2,83
"51600300100",8,2,91
"51600300100",9,2,152
"51600300100",1,3,1
"51600300100",2,3,20
