puma,SERIAL,adult,infant,preschooler,schooler,teenager,toddler,hhincome,hh_num,per1,per2,per3,per4,per5,per6,per7,per8,per9,per10,per11,per12,per13,per14,per15,per16,per17,per18,per19,per20,marst1,marst2,marst3,marst4,marst5,marst6,marst7,marst8,marst9,marst10,marst11,marst12,marst13,marst14,marst15,marst16,marst17,marst18,marst19,marst20,HINSEMP,char,puma_text,STATEFP,COUNTYFP,fips,hh_size,no_children,hh_size_recode,hh_income_2021,hh_income_cat,index
59301,6279235,4,0,0,0,0,0,633209.7,9,58,58,18,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,59301,51,59,51059,4,0,4,662777,"$200,000 or more",44
59301,6279437,1,0,0,0,0,0,132996.9,14,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,59301,51,59,51059,1,0,1,139207,"$100,000 to $149,999",31
59301,6279518,2,0,0,0,0,0,271564.1,8,65,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,59301,51,59,51059,2,0,2,284245,"$200,000 or more",42
59301,6279565,1,0,0,0,0,0,72796.17,15,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,59301,51,59,51059,1,0,1,76195,"$75,000 to $99,999",26
59301,6279588,1,0,0,0,0,0,51997.26,9,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,59301,51,59,51059,1,0,1,54425,"$50,000 to $74,999",21
59301,6279590,4,0,0,0,0,0,87470.88,10,73,66,28,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,59301,51,59,51059,4,0,4,91555,"$75,000 to $99,999",29
59301,6279594,2,0,0,0,0,0,60004.67,13,73,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,59301,51,59,51059,2,0,2,62807,"$50,000 to $74,999",22
59301,6279632,2,0,0,0,0,0,164091.3,25,52,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,59301,51,59,51059,2,0,2,171753,"$150,000 to $199,999",37
59301,6279652,2,0,1,0,0,1,335093.1,13,33,34,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,59301,51,59,51059,4,2,4,350740,"$200,000 or more",44
59301,6279701,2,0,0,0,0,0,82732.85,12,28,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,59301,51,59,51059,2,0,2,86596,"$75,000 to $99,999",27
59301,6279724,2,0,0,1,2,0,92439.22,11,39,42,12,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,59301,51,59,51059,4,2,4,96756,"$75,000 to $99,999",29
59301,6279766,1,0,0,0,1,0,4448.797,16,52,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,59301,51,59,51059,2,1,2,4657,"Less than $15,000",2
59301,6279782,2,0,0,0,0,0,94403.85,27,28,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,59301,51,59,51059,2,0,2,98812,"$75,000 to $99,999",27
