"","puma","serialno","hh_comb","index","hh_size_recode","hh_income_cat","hh_income"
"1","59301","2017000005331","2:200000",32,2,"$100,000 to $149,999",145000
"2","59301","2017000016754","2:200000",27,2,"$75,000 to $99,999",94340
"3","59301","2017000019969","1:100000",21,1,"$50,000 to $74,999",63000
"4","59301","2017000021484","3:300000",23,3,"$50,000 to $74,999",54700
"5","59301","2017000023818","3:300000",43,3,"$200,000 or more",387500
"6","59301","2017000024998","1:100000",26,1,"$75,000 to $99,999",97400
"7","59301","2017000026668","2:200000",22,2,"$50,000 to $74,999",63000
"8","59301","2017000029790","1:100000",36,1,"$150,000 to $199,999",160000
"9","59301","2017000032319","5:410000",45,5,"$200,000 or more",275000
"10","59301","2017000032598","2:200000",42,2,"$200,000 or more",324000
"11","59301","2017000032968","7:221101",20,5,"$35,000 to $49,999",37000
"12","59301","2017000036246","4:310000",39,4,"$150,000 to $199,999",175600
"13","59301","2017000040845","3:300000",43,3,"$200,000 or more",217000
"14","59301","2017000041393","3:300000",28,3,"$75,000 to $99,999",92200
"15","59301","2017000044102","2:200000",22,2,"$50,000 to $74,999",55000
"16","59301","2017000047622","4:200020",29,4,"$75,000 to $99,999",92000
"17","59301","2017000047863","1:100000",11,1,"$25,000 to $34,999",25000
"18","59301","2017000052081","3:200010",38,3,"$150,000 to $199,999",190000
"19","59301","2017000059301","1:100000",16,1,"$35,000 to $49,999",42500
"20","59301","2017000062476","2:200000",42,2,"$200,000 or more",278000
"21","59301","2017000062865","4:310000",29,4,"$75,000 to $99,999",77800
"22","59301","2017000066117","2:200000",22,2,"$50,000 to $74,999",67600
"23","59301","2017000066351","4:200020",29,4,"$75,000 to $99,999",77000
"24","59301","2017000069093","1:100000",1,1,"Less than $15,000",8600
"25","59301","2017000073234","3:300000",NA,3,NA,0
"26","59301","2017000073506","1:100000",41,1,"$200,000 or more",362650
"27","59301","2017000075713","1:100000",21,1,"$50,000 to $74,999",67000
"28","59301","2017000077036","2:200000",42,2,"$200,000 or more",275000
"29","59301","2017000077512","2:200000",22,2,"$50,000 to $74,999",53900
"30","59301","2017000079791","3:200010",38,3,"$150,000 to $199,999",182830
"31","59301","2017000080149","7:511000",30,5,"$75,000 to $99,999",89600
"32","59301","2017000082371","6:203100",20,5,"$35,000 to $49,999",42000
"33","59301","2017000085670","8:313100",35,5,"$100,000 to $149,999",128000
"34","59301","2017000086537","1:100000",31,1,"$100,000 to $149,999",147000
"35","59301","2017000087857","1:100000",21,1,"$50,000 to $74,999",50000
"36","59301","2017000089561","1:100000",26,1,"$75,000 to $99,999",75680
"37","59301","2017000096095","1:100000",31,1,"$100,000 to $149,999",143000
"38","59301","2017000098490","3:300000",43,3,"$200,000 or more",546000
"39","59301","2017000105846","1:100000",11,1,"$25,000 to $34,999",27700
"40","59301","2017000105996","1:100000",6,1,"$15,000 to $24,999",20000
"41","59301","2017000106787","5:203000",40,5,"$150,000 to $199,999",162000
"42","59301","2017000107554","2:200000",17,2,"$35,000 to $49,999",38000
"43","59301","2017000110978","2:200000",42,2,"$200,000 or more",291300
"44","59301","2017000112246","1:100000",31,1,"$100,000 to $149,999",110000
"45","59301","2017000115262","3:210000",18,3,"$35,000 to $49,999",49600
"46","59301","2017000116257","2:200000",17,2,"$35,000 to $49,999",41000
"47","59301","2017000116769","3:300000",43,3,"$200,000 or more",200670
"48","59301","2017000117167","1:100000",26,1,"$75,000 to $99,999",84000
"49","59301","2017000119824","1:100000",21,1,"$50,000 to $74,999",60000
"50","59301","2017000126996","1:100000",6,1,"$15,000 to $24,999",22100
"51","59301","2017000128795","1:100000",31,1,"$100,000 to $149,999",147000
"52","59301","2017000130490","3:300000",23,3,"$50,000 to $74,999",62800
"53","59301","2017000134451","2:200000",37,2,"$150,000 to $199,999",187000
"54","59301","2017000138239","2:200000",42,2,"$200,000 or more",305400
"55","59301","2017000138408","4:400000",29,4,"$75,000 to $99,999",99600
"56","59301","2017000142651","3:201000",18,3,"$35,000 to $49,999",43500
"57","59301","2017000147417","1:100000",16,1,"$35,000 to $49,999",36000
"58","59301","2017000153343","2:200000",42,2,"$200,000 or more",203300
"59","59301","2017000156019","2:200000",32,2,"$100,000 to $149,999",106700
"60","59301","2017000157240","2:200000",32,2,"$100,000 to $149,999",133100
"61","59301","2017000158005","2:110000",7,2,"$15,000 to $24,999",20000
"62","59301","2017000162021","4:211000",44,4,"$200,000 or more",239600
"63","59301","2017000162970","5:203000",15,5,"$25,000 to $34,999",30300
"64","59301","2017000165360","1:100000",11,1,"$25,000 to $34,999",30700
"65","59301","2017000172555","7:501100",35,5,"$100,000 to $149,999",142100
"66","59301","2017000173302","1:100000",1,1,"Less than $15,000",11600
"67","59301","2017000174878","2:200000",37,2,"$150,000 to $199,999",189000
"68","59301","2017000175540","1:100000",1,1,"Less than $15,000",13200
"69","59301","2017000177710","2:200000",42,2,"$200,000 or more",380000
"70","59301","2017000179076","1:100000",36,1,"$150,000 to $199,999",160000
"71","59301","2017000179726","1:100000",21,1,"$50,000 to $74,999",63000
"72","59301","2017000189358","1:100000",16,1,"$35,000 to $49,999",35000
"73","59301","2017000190448","3:210000",23,3,"$50,000 to $74,999",64050
"74","59301","2017000190618","3:200100",43,3,"$200,000 or more",253000
"75","59301","2017000191573","2:200000",17,2,"$35,000 to $49,999",36300
"76","59301","2017000192373","1:100000",26,1,"$75,000 to $99,999",81300
"77","59301","2017000195336","2:200000",42,2,"$200,000 or more",262600
"78","59301","2017000197179","5:400100",25,5,"$50,000 to $74,999",72300
"79","59301","2017000201908","2:200000",37,2,"$150,000 to $199,999",190000
"80","59301","2017000204284","3:200010",33,3,"$100,000 to $149,999",107000
"81","59301","2017000206687","4:400000",39,4,"$150,000 to $199,999",155300
"82","59301","2017000214190","2:200000",37,2,"$150,000 to $199,999",161000
"83","59301","2017000219341","13:1210000",45,5,"$200,000 or more",504700
"84","59301","2017000225389","2:200000",22,2,"$50,000 to $74,999",63900
"85","59301","2017000225541","2:200000",42,2,"$200,000 or more",224000
"86","59301","2017000226773","5:211100",15,5,"$25,000 to $34,999",25010
"87","59301","2017000228898","2:200000",27,2,"$75,000 to $99,999",82300
"88","59301","2017000231678","1:100000",26,1,"$75,000 to $99,999",92070
"89","59301","2017000233691","5:311000",15,5,"$25,000 to $34,999",26450
"90","59301","2017000234763","3:300000",33,3,"$100,000 to $149,999",115000
"91","59301","2017000235540","1:100000",1,1,"Less than $15,000",8500
"92","59301","2017000236248","1:100000",11,1,"$25,000 to $34,999",31400
"93","59301","2017000236698","2:200000",27,2,"$75,000 to $99,999",81500
"94","59301","2017000238472","2:200000",37,2,"$150,000 to $199,999",161000
"95","59301","2017000238635","1:100000",21,1,"$50,000 to $74,999",63800
"96","59301","2017000242231","2:200000",37,2,"$150,000 to $199,999",175000
"97","59301","2017000242749","3:210000",23,3,"$50,000 to $74,999",65000
"98","59301","2017000244639","5:201011",45,5,"$200,000 or more",290000
"99","59301","2017000245391","3:300000",33,3,"$100,000 to $149,999",109300
"100","59301","2017000245692","2:200000",32,2,"$100,000 to $149,999",129700
"101","59301","2017000247613","2:200000",32,2,"$100,000 to $149,999",103150
"102","59301","2017000249073","2:200000",22,2,"$50,000 to $74,999",52000
"103","59301","2017000251484","3:300000",43,3,"$200,000 or more",229600
"104","59301","2017000252109","2:200000",37,2,"$150,000 to $199,999",180800
"105","59301","2017000261484","2:110000",17,2,"$35,000 to $49,999",49700
"106","59301","2017000264805","2:200000",32,2,"$100,000 to $149,999",145000
"107","59301","2017000270320","4:111010",9,4,"$15,000 to $24,999",24000
"108","59301","2017000270618","1:100000",21,1,"$50,000 to $74,999",50000
"109","59301","2017000271643","2:200000",37,2,"$150,000 to $199,999",175000
"110","59301","2017000277036","2:200000",37,2,"$150,000 to $199,999",187000
"111","59301","2017000277211","1:100000",21,1,"$50,000 to $74,999",55000
"112","59301","2017000279865","3:200010",18,3,"$35,000 to $49,999",35000
"113","59301","2017000279899","2:200000",32,2,"$100,000 to $149,999",107900
"114","59301","2017000284512","2:200000",37,2,"$150,000 to $199,999",179000
"115","59301","2017000284739","3:201000",38,3,"$150,000 to $199,999",185000
"116","59301","2017000284752","6:500010",30,5,"$75,000 to $99,999",91900
"117","59301","2017000285506","2:200000",42,2,"$200,000 or more",426500
"118","59301","2017000285677","2:200000",37,2,"$150,000 to $199,999",163000
"119","59301","2017000286323","4:201100",14,4,"$25,000 to $34,999",27000
"120","59301","2017000287728","3:300000",23,3,"$50,000 to $74,999",50800
"121","59301","2017000287731","6:303000",25,5,"$50,000 to $74,999",50000
"122","59301","2017000288246","2:200000",17,2,"$35,000 to $49,999",44000
"123","59301","2017000291308","1:100000",21,1,"$50,000 to $74,999",68800
"124","59301","2017000294379","4:200020",39,4,"$150,000 to $199,999",196200
"125","59301","2017000294382","2:200000",NA,2,NA,0
"126","59301","2017000295936","3:200010",43,3,"$200,000 or more",229000
"127","59301","2017000298275","1:100000",6,1,"$15,000 to $24,999",20300
"128","59301","2017000302529","1:100000",36,1,"$150,000 to $199,999",175000
"129","59301","2017000306994","3:300000",33,3,"$100,000 to $149,999",107050
"130","59301","2017000310711","1:100000",26,1,"$75,000 to $99,999",84400
"131","59301","2017000312627","1:100000",16,1,"$35,000 to $49,999",44800
"132","59301","2017000317832","5:201110",25,5,"$50,000 to $74,999",56000
"133","59301","2017000319236","5:221000",NA,5,NA,0
"134","59301","2017000327430","2:100010",2,2,"Less than $15,000",12000
"135","59301","2017000328601","2:200000",32,2,"$100,000 to $149,999",114830
"136","59301","2017000329811","3:300000",33,3,"$100,000 to $149,999",110500
"137","59301","2017000330441","7:600010",45,5,"$200,000 or more",216100
"138","59301","2017000332060","1:100000",1,1,"Less than $15,000",5000
"139","59301","2017000333664","1:100000",26,1,"$75,000 to $99,999",82000
"140","59301","2017000335449","3:210000",43,3,"$200,000 or more",317000
"141","59301","2017000335674","4:200110",44,4,"$200,000 or more",522000
"142","59301","2017000337392","1:100000",11,1,"$25,000 to $34,999",26000
"143","59301","2017000338736","2:200000",32,2,"$100,000 to $149,999",138000
"144","59301","2017000339413","1:100000",21,1,"$50,000 to $74,999",65300
"145","59301","2017000340759","1:100000",21,1,"$50,000 to $74,999",62000
"146","59301","2017000341925","3:300000",33,3,"$100,000 to $149,999",123300
"147","59301","2017000344291","3:100110",3,3,"Less than $15,000",14000
"148","59301","2017000349125","2:200000",42,2,"$200,000 or more",720310
"149","59301","2017000350498","2:200000",42,2,"$200,000 or more",228000
"150","59301","2017000350977","4:200020",44,4,"$200,000 or more",230000
"151","59301","2017000352163","2:200000",12,2,"$25,000 to $34,999",32100
"152","59301","2017000355540","2:200000",22,2,"$50,000 to $74,999",54800
"153","59301","2017000356527","2:200000",42,2,"$200,000 or more",255000
"154","59301","2017000358537","5:201110",35,5,"$100,000 to $149,999",140000
"155","59301","2017000361114","1:100000",11,1,"$25,000 to $34,999",29200
"156","59301","2017000363841","2:200000",32,2,"$100,000 to $149,999",140500
"157","59301","2017000366988","5:202010",35,5,"$100,000 to $149,999",138000
"158","59301","2017000367431","2:200000",22,2,"$50,000 to $74,999",60000
"159","59301","2017000369719","3:210000",38,3,"$150,000 to $199,999",160300
"160","59301","2017000371343","3:201000",33,3,"$100,000 to $149,999",121600
"161","59301","2017000374044","2:200000",27,2,"$75,000 to $99,999",87000
"162","59301","2017000375505","4:300001",34,4,"$100,000 to $149,999",147000
"163","59301","2017000387636","5:221000",45,5,"$200,000 or more",802250
"164","59301","2017000388160","2:200000",37,2,"$150,000 to $199,999",164000
"165","59301","2017000389602","3:300000",33,3,"$100,000 to $149,999",141500
"166","59301","2017000392385","2:200000",37,2,"$150,000 to $199,999",153000
"167","59301","2017000392512","1:100000",6,1,"$15,000 to $24,999",22800
"168","59301","2017000393652","6:420000",45,5,"$200,000 or more",245300
"169","59301","2017000407330","3:201000",43,3,"$200,000 or more",321000
"170","59301","2017000408795","1:100000",41,1,"$200,000 or more",250000
"171","59301","2017000411476","3:300000",23,3,"$50,000 to $74,999",67400
"172","59301","2017000412152","6:600000",45,5,"$200,000 or more",312000
"173","59301","2017000414124","2:200000",32,2,"$100,000 to $149,999",147000
"174","59301","2017000416258","2:200000",12,2,"$25,000 to $34,999",30300
"175","59301","2017000416357","3:300000",38,3,"$150,000 to $199,999",172000
"176","59301","2017000417075","2:200000",42,2,"$200,000 or more",200200
"177","59301","2017000418581","4:200020",34,4,"$100,000 to $149,999",120000
"178","59301","2017000419050","1:100000",36,1,"$150,000 to $199,999",170000
"179","59301","2017000420532","6:400101",20,5,"$35,000 to $49,999",48000
"180","59301","2017000421553","3:120000",33,3,"$100,000 to $149,999",103000
"181","59301","2017000422002","1:100000",21,1,"$50,000 to $74,999",65000
"182","59301","2017000427071","2:200000",22,2,"$50,000 to $74,999",62000
"183","59301","2017000433870","1:100000",31,1,"$100,000 to $149,999",101000
"184","59301","2017000443644","4:202000",9,4,"$15,000 to $24,999",23100
"185","59301","2017000444574","6:131100",5,5,"Less than $15,000",14800
"186","59301","2017000445236","4:200110",44,4,"$200,000 or more",337400
"187","59301","2017000447625","3:210000",33,3,"$100,000 to $149,999",130000
"188","59301","2017000453094","4:200110",39,4,"$150,000 to $199,999",161000
"189","59301","2017000462649","1:100000",6,1,"$15,000 to $24,999",24600
"190","59301","2017000464585","1:100000",26,1,"$75,000 to $99,999",81500
"191","59301","2017000468438","2:200000",42,2,"$200,000 or more",359000
"192","59301","2017000470914","1:100000",11,1,"$25,000 to $34,999",25000
"193","59301","2017000473565","5:410000",45,5,"$200,000 or more",230000
"194","59301","2017000476694","2:200000",7,2,"$15,000 to $24,999",15900
"195","59301","2017000482568","2:200000",42,2,"$200,000 or more",269000
"196","59301","2017000483327","2:200000",42,2,"$200,000 or more",212000
"197","59301","2017000484669","4:301000",29,4,"$75,000 to $99,999",84000
"198","59301","2017000485125","1:100000",16,1,"$35,000 to $49,999",48000
"199","59301","2017000487225","4:301000",34,4,"$100,000 to $149,999",123230
"200","59301","2017000490459","3:200010",43,3,"$200,000 or more",270300
"201","59301","2017000492450","3:120000",13,3,"$25,000 to $34,999",29800
"202","59301","2017000501449","1:100000",NA,1,NA,0
"203","59301","2017000501746","2:200000",32,2,"$100,000 to $149,999",117000
"204","59301","2017000504782","2:200000",32,2,"$100,000 to $149,999",116000
"205","59301","2017000506181","1:100000",31,1,"$100,000 to $149,999",136200
"206","59301","2017000506226","1:100000",NA,1,NA,0
"207","59301","2017000506243","2:200000",42,2,"$200,000 or more",425000
"208","59301","2017000506504","1:100000",16,1,"$35,000 to $49,999",45000
"209","59301","2017000507552","2:200000",32,2,"$100,000 to $149,999",139800
"210","59301","2017000512374","1:100000",36,1,"$150,000 to $199,999",156000
"211","59301","2017000514961","4:201010",44,4,"$200,000 or more",201000
"212","59301","2017000515393","2:200000",2,2,"Less than $15,000",6000
"213","59301","2017000517904","3:200010",33,3,"$100,000 to $149,999",101000
"214","59301","2017000521067","2:200000",42,2,"$200,000 or more",267500
"215","59301","2017000525897","2:200000",22,2,"$50,000 to $74,999",56000
"216","59301","2017000529599","2:200000",27,2,"$75,000 to $99,999",90000
"217","59301","2017000531690","1:100000",31,1,"$100,000 to $149,999",109000
"218","59301","2017000532134","3:300000",18,3,"$35,000 to $49,999",49200
"219","59301","2017000532457","1:100000",31,1,"$100,000 to $149,999",1e+05
"220","59301","2017000535623","4:300100",4,4,"Less than $15,000",12850
"221","59301","2017000535865","1:100000",21,1,"$50,000 to $74,999",66900
"222","59301","2017000539233","1:100000",NA,1,NA,0
"223","59301","2017000540265","2:200000",2,2,"Less than $15,000",8000
"224","59301","2017000543867","2:200000",32,2,"$100,000 to $149,999",105100
"225","59301","2017000544203","4:400000",39,4,"$150,000 to $199,999",150000
"226","59301","2017000544332","2:200000",27,2,"$75,000 to $99,999",99000
"227","59301","2017000545305","4:301000",44,4,"$200,000 or more",660440
"228","59301","2017000551102","4:400000",34,4,"$100,000 to $149,999",140000
"229","59301","2017000552876","3:300000",38,3,"$150,000 to $199,999",170000
"230","59301","2017000554597","1:100000",1,1,"Less than $15,000",13000
"231","59301","2017000554972","4:130000",29,4,"$75,000 to $99,999",78400
"232","59301","2017000557029","2:200000",17,2,"$35,000 to $49,999",48000
"233","59301","2017000557226","1:100000",11,1,"$25,000 to $34,999",30000
"234","59301","2017000562637","2:200000",32,2,"$100,000 to $149,999",105250
"235","59301","2017000563054","3:300000",38,3,"$150,000 to $199,999",163000
"236","59301","2017000564095","5:220010",45,5,"$200,000 or more",608400
"237","59301","2017000566128","2:200000",37,2,"$150,000 to $199,999",160400
"238","59301","2017000567184","4:220000",14,4,"$25,000 to $34,999",33300
"239","59301","2017000574589","2:200000",32,2,"$100,000 to $149,999",134200
"240","59301","2017000576568","4:220000",24,4,"$50,000 to $74,999",63000
"241","59301","2017000576694","3:210000",38,3,"$150,000 to $199,999",154500
"242","59301","2017000577614","6:400020",25,5,"$50,000 to $74,999",52600
"243","59301","2017000579480","2:200000",32,2,"$100,000 to $149,999",116000
"244","59301","2017000584455","2:200000",22,2,"$50,000 to $74,999",60000
"245","59301","2017000586018","4:400000",39,4,"$150,000 to $199,999",170420
"246","59301","2017000589613","2:200000",17,2,"$35,000 to $49,999",37500
"247","59301","2017000593146","1:100000",31,1,"$100,000 to $149,999",110000
"248","59301","2017000597034","4:220000",9,4,"$15,000 to $24,999",15630
"249","59301","2017000599973","4:201010",24,4,"$50,000 to $74,999",65000
"250","59301","2017000600704","2:200000",42,2,"$200,000 or more",259600
"251","59301","2017000605271","2:200000",42,2,"$200,000 or more",234000
"252","59301","2017000609437","2:200000",42,2,"$200,000 or more",220000
"253","59301","2017000610360","2:200000",37,2,"$150,000 to $199,999",160000
"254","59301","2017000614240","1:100000",6,1,"$15,000 to $24,999",18400
"255","59301","2017000618178","4:400000",34,4,"$100,000 to $149,999",105600
"256","59301","2017000621140","2:200000",37,2,"$150,000 to $199,999",195000
"257","59301","2017000623199","4:200020",39,4,"$150,000 to $199,999",162000
"258","59301","2017000623945","5:410000",40,5,"$150,000 to $199,999",160000
"259","59301","2017000627606","1:100000",1,1,"Less than $15,000",8590
"260","59301","2017000629392","2:200000",22,2,"$50,000 to $74,999",58000
"261","59301","2017000638555","2:200000",37,2,"$150,000 to $199,999",184500
"262","59301","2017000638652","6:221100",15,5,"$25,000 to $34,999",34200
"263","59301","2017000639549","1:100000",16,1,"$35,000 to $49,999",41400
"264","59301","2017000639796","2:200000",17,2,"$35,000 to $49,999",48100
"265","59301","2017000640052","4:210100",24,4,"$50,000 to $74,999",65000
"266","59301","2017000640347","1:100000",16,1,"$35,000 to $49,999",35600
"267","59301","2017000649274","3:300000",23,3,"$50,000 to $74,999",51700
"268","59301","2017000651368","4:300010",29,4,"$75,000 to $99,999",75300
"269","59301","2017000652372","3:101100",3,3,"Less than $15,000",10440
"270","59301","2017000653845","1:100000",21,1,"$50,000 to $74,999",73000
"271","59301","2017000655219","3:300000",43,3,"$200,000 or more",609800
"272","59301","2017000661059","3:200100",43,3,"$200,000 or more",292200
"273","59301","2017000661937","2:200000",32,2,"$100,000 to $149,999",126490
"274","59301","2017000661982","4:200011",44,4,"$200,000 or more",304000
"275","59301","2017000662789","4:220000",44,4,"$200,000 or more",260000
"276","59301","2017000664238","1:100000",1,1,"Less than $15,000",12000
"277","59301","2017000665131","4:201010",34,4,"$100,000 to $149,999",105030
"278","59301","2017000665957","1:100000",26,1,"$75,000 to $99,999",81000
"279","59301","2017000666073","3:200010",38,3,"$150,000 to $199,999",187200
"280","59301","2017000666639","1:100000",11,1,"$25,000 to $34,999",25000
"281","59301","2017000670784","2:200000",42,2,"$200,000 or more",225000
"282","59301","2017000676650","2:200000",37,2,"$150,000 to $199,999",162000
"283","59301","2017000677335","1:100000",11,1,"$25,000 to $34,999",25000
"284","59301","2017000677711","3:300000",33,3,"$100,000 to $149,999",147800
"285","59301","2017000681452","1:100000",31,1,"$100,000 to $149,999",145000
"286","59301","2017000693339","1:100000",26,1,"$75,000 to $99,999",78000
"287","59301","2017000695944","3:200010",23,3,"$50,000 to $74,999",60000
"288","59301","2017000696110","6:202110",40,5,"$150,000 to $199,999",184000
"289","59301","2017000699918","1:100000",26,1,"$75,000 to $99,999",89000
"290","59301","2017000700644","3:200010",28,3,"$75,000 to $99,999",95000
"291","59301","2017000701344","4:211000",9,4,"$15,000 to $24,999",18000
"292","59301","2017000704066","5:311000",35,5,"$100,000 to $149,999",115000
"293","59301","2017000709270","1:100000",31,1,"$100,000 to $149,999",116500
"294","59301","2017000710049","2:200000",32,2,"$100,000 to $149,999",123200
"295","59301","2017000712128","1:100000",26,1,"$75,000 to $99,999",75000
"296","59301","2017000713130","2:200000",22,2,"$50,000 to $74,999",70000
"297","59301","2017000713684","3:300000",28,3,"$75,000 to $99,999",86500
"298","59301","2017000717481","3:300000",23,3,"$50,000 to $74,999",69000
"299","59301","2017000718105","4:201001",39,4,"$150,000 to $199,999",188000
"300","59301","2017000718917","2:200000",22,2,"$50,000 to $74,999",60000
"301","59301","2017000720616","4:400000",29,4,"$75,000 to $99,999",77000
"302","59301","2017000723512","4:200101",9,4,"$15,000 to $24,999",20000
"303","59301","2017000723704","1:100000",21,1,"$50,000 to $74,999",54000
"304","59301","2017000724242","1:100000",1,1,"Less than $15,000",9200
"305","59301","2017000724575","1:100000",26,1,"$75,000 to $99,999",92000
"306","59301","2017000727749","2:200000",42,2,"$200,000 or more",287000
"307","59301","2017000727852","5:201110",40,5,"$150,000 to $199,999",151500
"308","59301","2017000731860","1:100000",1,1,"Less than $15,000",150
"309","59301","2017000734499","2:200000",37,2,"$150,000 to $199,999",193650
"310","59301","2017000734832","2:200000",37,2,"$150,000 to $199,999",193000
"311","59301","2017000735984","3:300000",43,3,"$200,000 or more",253600
"312","59301","2017000736752","1:100000",36,1,"$150,000 to $199,999",151100
"313","59301","2017000737481","1:100000",31,1,"$100,000 to $149,999",135000
"314","59301","2017000748636","3:201000",8,3,"$15,000 to $24,999",22200
"315","59301","2017000749454","2:200000",42,2,"$200,000 or more",298000
"316","59301","2017000750460","5:500000",45,5,"$200,000 or more",272300
"317","59301","2017000751350","5:201101",25,5,"$50,000 to $74,999",64000
"318","59301","2017000751886","2:200000",17,2,"$35,000 to $49,999",42800
"319","59301","2017000754032","5:302000",35,5,"$100,000 to $149,999",146000
"320","59301","2017000754807","2:200000",2,2,"Less than $15,000",8500
"321","59301","2017000757190","6:202110",40,5,"$150,000 to $199,999",188800
"322","59301","2017000758470","1:100000",31,1,"$100,000 to $149,999",110000
"323","59301","2017000761890","2:200000",32,2,"$100,000 to $149,999",147800
"324","59301","2017000761921","2:200000",27,2,"$75,000 to $99,999",77000
"325","59301","2017000761976","4:400000",44,4,"$200,000 or more",289000
"326","59301","2017000764848","2:200000",37,2,"$150,000 to $199,999",169800
"327","59301","2017000769908","2:200000",27,2,"$75,000 to $99,999",77400
"328","59301","2017000771480","5:211100",15,5,"$25,000 to $34,999",25000
"329","59301","2017000773617","6:312000",35,5,"$100,000 to $149,999",115000
"330","59301","2017000776903","3:200010",38,3,"$150,000 to $199,999",174000
"331","59301","2017000777053","1:100000",11,1,"$25,000 to $34,999",30400
"332","59301","2017000780027","5:202010",35,5,"$100,000 to $149,999",120000
"333","59301","2017000781580","1:100000",21,1,"$50,000 to $74,999",62310
"334","59301","2017000784282","5:210110",25,5,"$50,000 to $74,999",57200
"335","59301","2017000787197","3:300000",23,3,"$50,000 to $74,999",54700
"336","59301","2017000788277","2:200000",32,2,"$100,000 to $149,999",120200
"337","59301","2017000791801","1:100000",26,1,"$75,000 to $99,999",89500
"338","59301","2017000792604","2:200000",2,2,"Less than $15,000",12500
"339","59301","2017000795222","2:200000",2,2,"Less than $15,000",6600
"340","59301","2017000795278","2:200000",37,2,"$150,000 to $199,999",158500
"341","59301","2017000796926","3:120000",8,3,"$15,000 to $24,999",16200
"342","59301","2017000799725","3:201000",33,3,"$100,000 to $149,999",103000
"343","59301","2017000801208","7:501100",45,5,"$200,000 or more",328400
"344","59301","2017000804304","2:200000",42,2,"$200,000 or more",325300
"345","59301","2017000804706","3:200010",33,3,"$100,000 to $149,999",140200
"346","59301","2017000810246","2:110000",32,2,"$100,000 to $149,999",110000
"347","59301","2017000812856","1:100000",21,1,"$50,000 to $74,999",69000
"348","59301","2017000814247","4:200011",24,4,"$50,000 to $74,999",55000
"349","59301","2017000817672","1:100000",11,1,"$25,000 to $34,999",27000
"350","59301","2017000818885","3:210000",43,3,"$200,000 or more",275000
"351","59301","2017000828642","2:200000",37,2,"$150,000 to $199,999",177650
"352","59301","2017000833911","2:200000",27,2,"$75,000 to $99,999",80000
"353","59301","2017000836316","1:100000",16,1,"$35,000 to $49,999",44000
"354","59301","2017000841310","3:300000",18,3,"$35,000 to $49,999",41900
"355","59301","2017000850119","1:100000",31,1,"$100,000 to $149,999",117000
"356","59301","2017000850168","3:210000",18,3,"$35,000 to $49,999",47000
"357","59301","2017000850635","1:100000",26,1,"$75,000 to $99,999",85000
"358","59301","2017000852572","2:200000",17,2,"$35,000 to $49,999",37600
"359","59301","2017000858724","2:200000",17,2,"$35,000 to $49,999",49000
"360","59301","2017000863169","1:100000",1,1,"Less than $15,000",11100
"361","59301","2017000865174","1:100000",6,1,"$15,000 to $24,999",24000
"362","59301","2017000866624","4:200110",44,4,"$200,000 or more",210000
"363","59301","2017000867084","4:400000",29,4,"$75,000 to $99,999",85500
"364","59301","2017000870210","1:100000",36,1,"$150,000 to $199,999",158000
"365","59301","2017000870332","1:100000",1,1,"Less than $15,000",8700
"366","59301","2017000872108","1:100000",36,1,"$150,000 to $199,999",172900
"367","59301","2017000875520","3:111000",3,3,"Less than $15,000",1500
"368","59301","2017000879193","4:202000",44,4,"$200,000 or more",210000
"369","59301","2017000884928","1:100000",21,1,"$50,000 to $74,999",70100
"370","59301","2017000890439","2:200000",27,2,"$75,000 to $99,999",87200
"371","59301","2017000892862","3:210000",43,3,"$200,000 or more",375000
"372","59301","2017000894990","1:100000",36,1,"$150,000 to $199,999",190000
"373","59301","2017000896697","2:200000",12,2,"$25,000 to $34,999",26200
"374","59301","2017000898707","2:200000",22,2,"$50,000 to $74,999",71800
"375","59301","2017000903469","3:111000",43,3,"$200,000 or more",504500
"376","59301","2017000903691","3:200010",28,3,"$75,000 to $99,999",78300
"377","59301","2017000904226","3:201000",38,3,"$150,000 to $199,999",160000
"378","59301","2017000906639","3:210000",43,3,"$200,000 or more",468000
"379","59301","2017000908595","3:300000",13,3,"$25,000 to $34,999",34300
"380","59301","2017000910320","1:100000",1,1,"Less than $15,000",7700
"381","59301","2017000918491","2:200000",22,2,"$50,000 to $74,999",57000
"382","59301","2017000919805","6:240000",45,5,"$200,000 or more",502000
"383","59301","2017000921986","2:200000",37,2,"$150,000 to $199,999",180400
"384","59301","2017000940848","2:200000",42,2,"$200,000 or more",2e+05
"385","59301","2017000941938","2:200000",42,2,"$200,000 or more",303000
"386","59301","2017000942038","2:200000",32,2,"$100,000 to $149,999",112000
"387","59301","2017000945797","4:200011",9,4,"$15,000 to $24,999",22000
"388","59301","2017000946729","2:200000",42,2,"$200,000 or more",497700
"389","59301","2017000947770","2:200000",27,2,"$75,000 to $99,999",79270
"390","59301","2017000950005","6:510000",45,5,"$200,000 or more",223000
"391","59301","2017000950089","2:200000",17,2,"$35,000 to $49,999",40000
"392","59301","2017000953547","7:501010",35,5,"$100,000 to $149,999",125000
"393","59301","2017000957101","5:200111",40,5,"$150,000 to $199,999",191000
"394","59301","2017000958660","2:200000",17,2,"$35,000 to $49,999",48800
"395","59301","2017000960239","2:200000",27,2,"$75,000 to $99,999",78100
"396","59301","2017000966823","4:220000",44,4,"$200,000 or more",385000
"397","59301","2017000973029","2:200000",42,2,"$200,000 or more",345000
