"","puma","serialno","hh_comb","index","hh_size_recode","hh_income_cat","hh_income"
"2655","59301","2021HU0970490","5:410000",30,5,"$75,000 to $99,999",75800
"2656","59301","2021HU0974806","1:100000",21,1,"$50,000 to $74,999",62000
"2657","59301","2021HU0979161","3:200010",33,3,"$100,000 to $149,999",110000
"2658","59301","2021HU0991160","4:300010",39,4,"$150,000 to $199,999",190400
"2659","59301","2021HU0991869","3:200001",38,3,"$150,000 to $199,999",195800
"2660","59301","2021HU0991877","2:200000",17,2,"$35,000 to $49,999",45800
"2661","59301","2021HU0993233","3:210000",23,3,"$50,000 to $74,999",70800
"2662","59301","2021HU0993351","4:211000",14,4,"$25,000 to $34,999",31600
"2663","59301","2021HU0993414","3:200010",28,3,"$75,000 to $99,999",80000
"2664","59301","2021HU0994491","2:200000",37,2,"$150,000 to $199,999",186440
"2665","59301","2021HU0995141","1:100000",16,1,"$35,000 to $49,999",43700
"2666","59301","2021HU0997413","4:211000",44,4,"$200,000 or more",475000
"2667","59301","2021HU0998963","7:301210",45,5,"$200,000 or more",205000
"2668","59301","2021HU0999190","2:200000",32,2,"$100,000 to $149,999",110100
"2669","59301","2021HU1004088","1:100000",26,1,"$75,000 to $99,999",91220
"2670","59301","2021HU1007148","3:210000",33,3,"$100,000 to $149,999",128000
"2671","59301","2021HU1008419","2:200000",27,2,"$75,000 to $99,999",88000
"2672","59301","2021HU1012308","1:100000",21,1,"$50,000 to $74,999",55000
"2673","59301","2021HU1012447","4:201010",4,4,"Less than $15,000",10800
"2674","59301","2021HU1016740","3:210000",28,3,"$75,000 to $99,999",94100
"2675","59301","2021HU1018367","2:200000",32,2,"$100,000 to $149,999",142000
"2676","59301","2021HU1021253","1:100000",41,1,"$200,000 or more",382400
"2677","59301","2021HU1022166","3:210000",33,3,"$100,000 to $149,999",102000
"2678","59301","2021HU1023778","1:100000",21,1,"$50,000 to $74,999",73000
"2679","59301","2021HU1029976","4:202000",29,4,"$75,000 to $99,999",90000
"2680","59301","2021HU1031681","1:100000",26,1,"$75,000 to $99,999",93200
"2681","59301","2021HU1034922","8:411200",20,5,"$35,000 to $49,999",38000
"2682","59301","2021HU1034947","2:200000",37,2,"$150,000 to $199,999",163100
"2683","59301","2021HU1035282","1:100000",11,1,"$25,000 to $34,999",28300
"2684","59301","2021HU1040484","1:100000",31,1,"$100,000 to $149,999",111000
"2685","59301","2021HU1040552","1:100000",1,1,"Less than $15,000",8600
"2686","59301","2021HU1043114","3:300000",28,3,"$75,000 to $99,999",80000
"2687","59301","2021HU1045686","5:410000",30,5,"$75,000 to $99,999",94300
"2688","59301","2021HU1049933","2:200000",42,2,"$200,000 or more",296000
"2689","59301","2021HU1051215","2:200000",27,2,"$75,000 to $99,999",98000
"2690","59301","2021HU1056858","2:200000",42,2,"$200,000 or more",383000
"2691","59301","2021HU1058439","2:200000",17,2,"$35,000 to $49,999",40000
"2692","59301","2021HU1060587","2:200000",27,2,"$75,000 to $99,999",80700
"2693","59301","2021HU1067147","3:300000",33,3,"$100,000 to $149,999",115500
"2694","59301","2021HU1067345","1:100000",36,1,"$150,000 to $199,999",170500
"2695","59301","2021HU1067438","1:100000",31,1,"$100,000 to $149,999",106200
"2696","59301","2021HU1068622","5:500000",40,5,"$150,000 to $199,999",175000
"2697","59301","2021HU1073717","2:200000",42,2,"$200,000 or more",585000
"2698","59301","2021HU1074174","2:200000",42,2,"$200,000 or more",246400
"2699","59301","2021HU1086309","3:300000",43,3,"$200,000 or more",260000
"2700","59301","2021HU1089026","1:100000",21,1,"$50,000 to $74,999",51000
"2701","59301","2021HU1091802","3:300000",33,3,"$100,000 to $149,999",116200
"2702","59301","2021HU1094540","2:200000",37,2,"$150,000 to $199,999",180000
"2703","59301","2021HU1098272","1:100000",16,1,"$35,000 to $49,999",44800
"2704","59301","2021HU1099447","1:100000",11,1,"$25,000 to $34,999",32100
"2705","59301","2021HU1100840","1:100000",NA,1,NA,0
"2706","59301","2021HU1101713","3:300000",43,3,"$200,000 or more",253650
"2707","59301","2021HU1103565","1:100000",21,1,"$50,000 to $74,999",52000
"2708","59301","2021HU1103638","1:100000",21,1,"$50,000 to $74,999",62000
"2709","59301","2021HU1104339","3:201000",28,3,"$75,000 to $99,999",80000
"2710","59301","2021HU1104764","2:200000",32,2,"$100,000 to $149,999",128200
"2711","59301","2021HU1111263","4:310000",39,4,"$150,000 to $199,999",155200
"2712","59301","2021HU1111414","1:100000",11,1,"$25,000 to $34,999",32400
"2713","59301","2021HU1112022","3:200100",13,3,"$25,000 to $34,999",30000
"2714","59301","2021HU1112135","2:200000",22,2,"$50,000 to $74,999",59400
"2715","59301","2021HU1112395","5:121100",10,5,"$15,000 to $24,999",20400
"2716","59301","2021HU1113706","1:100000",1,1,"Less than $15,000",10000
"2717","59301","2021HU1114035","2:200000",32,2,"$100,000 to $149,999",106120
"2718","59301","2021HU1115908","6:420000",45,5,"$200,000 or more",202600
"2719","59301","2021HU1117942","2:110000",17,2,"$35,000 to $49,999",45000
"2720","59301","2021HU1119477","2:101000",2,2,"Less than $15,000",14400
"2721","59301","2021HU1119540","1:100000",26,1,"$75,000 to $99,999",79500
"2722","59301","2021HU1120958","2:200000",42,2,"$200,000 or more",393000
"2723","59301","2021HU1125233","1:100000",26,1,"$75,000 to $99,999",92000
"2724","59301","2021HU1125667","3:300000",23,3,"$50,000 to $74,999",62000
"2725","59301","2021HU1126533","5:212000",15,5,"$25,000 to $34,999",27220
"2726","59301","2021HU1126876","1:100000",6,1,"$15,000 to $24,999",17900
"2727","59301","2021HU1127804","4:201100",39,4,"$150,000 to $199,999",196000
"2728","59301","2021HU1136580","1:100000",1,1,"Less than $15,000",1200
"2729","59301","2021HU1137096","1:100000",16,1,"$35,000 to $49,999",46790
"2730","59301","2021HU1137862","1:100000",21,1,"$50,000 to $74,999",51400
"2731","59301","2021HU1138647","2:200000",27,2,"$75,000 to $99,999",99150
"2732","59301","2021HU1140119","2:200000",37,2,"$150,000 to $199,999",184000
"2733","59301","2021HU1142028","8:223100",10,5,"$15,000 to $24,999",24000
"2734","59301","2021HU1142840","2:200000",27,2,"$75,000 to $99,999",91500
"2735","59301","2021HU1148895","3:200001",23,3,"$50,000 to $74,999",60000
"2736","59301","2021HU1149977","5:500000",40,5,"$150,000 to $199,999",178700
"2737","59301","2021HU1151331","2:200000",17,2,"$35,000 to $49,999",45000
"2738","59301","2021HU1152644","1:100000",31,1,"$100,000 to $149,999",113090
