"puma","serialno","hh_wt","hh_comb","no_adult","no_teenager","no_schooler","no_preschooler","no_toddler","no_infant","index","hh_size_recode","hh_income_cat","hh_income","food_cost_month","childcare_cost_month"
59301,"2017000005331",6,02:20:00,2,0,0,0,0,0,32,2,"$100,000 to $149,999",145000,759.984013001781,0
59301,"2017000016754",12,02:20:00,2,0,0,0,0,0,27,2,"$75,000 to $99,999",94340,759.984013001781,0
59301,"2017000019969",11,01:10:00,1,0,0,0,0,0,21,1,"$50,000 to $74,999",63000,414.536734364608,0
59301,"2017000021484",15,03:30:00,3,0,0,0,0,0,23,3,"$50,000 to $74,999",54700,1088.1589277071,0
59301,"2017000023818",8,03:30:00,3,0,0,0,0,0,43,3,"$200,000 or more",387500,1088.1589277071,0
59301,"2017000024998",12,01:10:00,1,0,0,0,0,0,26,1,"$75,000 to $99,999",97400,414.536734364608,0
59301,"2017000026668",13,02:20:00,2,0,0,0,0,0,22,2,"$50,000 to $74,999",63000,759.984013001781,0
59301,"2017000029790",12,01:10:00,1,0,0,0,0,0,36,1,"$150,000 to $199,999",160000,414.536734364608,0
59301,"2017000032319",14,05:41:00,4,1,0,0,0,0,45,5,"$200,000 or more",275000,1638.6374240444,0
59301,"2017000032598",8,02:20:00,2,0,0,0,0,0,42,2,"$200,000 or more",324000,759.984013001781,0
59301,"2017000032968",16,NA,2,2,1,1,0,1,20,5,"$35,000 to $49,999",37000,1982.05478388827,2984.84
59301,"2017000036246",24,04:31:00,3,1,0,0,0,0,39,4,"$150,000 to $199,999",175600,1379.43422035693,0
59301,"2017000040845",13,03:30:00,3,0,0,0,0,0,43,3,"$200,000 or more",217000,1088.1589277071,0
59301,"2017000041393",8,03:30:00,3,0,0,0,0,0,28,3,"$75,000 to $99,999",92200,1088.1589277071,0
59301,"2017000044102",36,02:20:00,2,0,0,0,0,0,22,2,"$50,000 to $74,999",55000,759.984013001781,0
59301,"2017000047622",12,04:20:20,2,0,0,0,2,0,29,4,"$75,000 to $99,999",92000,1099.3274058939,1960.16
59301,"2017000047863",58,01:10:00,1,0,0,0,0,0,11,1,"$25,000 to $34,999",25000,414.536734364608,0
